spatial_block_id,display_x,display_y,xenium_x,xenium_y,n_cells,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x2_y4,87.6059385570489,49.33492705930018,3349.3619791666665,2476.8196614583335,9,0.2158961437810235,0.3231040495906458,0.1197601724853036,0.1571151010259396,0.173831972173641,0.3172736998817317,0.213456063642327,0.5718239437770987,0.3364267072513417,0.5797316721013485
block_x2_y5,85.1870227002471,47.72011157984166,3078.3177379261365,2872.65185546875,11,0.4415864135871029,0.5420592402466919,0.2027922443295075,0.4978828026010778,0.5135965604723084,0.3603673418595733,0.2209950120127387,0.1634198316255313,0.2919045905673573,0.3145900274983457
block_x2_y6,82.81816819087045,46.80983047547084,2923.641835530599,3261.5525716145835,24,0.2491724430924094,0.3479901008733343,0.2700950607663415,0.2258244423015956,0.3800047625390944,0.4514648862122697,0.1811053790793585,0.253904527667512,0.413707824640607,0.348718102587054
block_x2_y7,80.29103574051426,46.92448491835225,2937.8213958740234,3678.477584838867,16,0.7261713552592984,0.6396386055341766,0.2258857805643234,0.6521694583005473,0.681709366729128,0.1176369159636528,0.2491881934798589,0.0,0.1830065578394309,0.1633702615866569
block_x2_y8,77.89631279323737,47.76375390503351,3071.8378135279604,4074.9300986842104,19,0.7038712797293645,0.6704742932211548,0.1338060615282777,0.6404011288340505,0.6398144415536853,0.0818693375379111,0.1276727213111997,0.1055707644081705,0.1080515928150997,0.0826593886552676
block_x2_y9,75.77259067478015,47.65717736266098,3050.263112386068,4424.919514973958,24,0.6627621839730469,0.5135945220516221,0.0,0.483590318804719,0.3588536598626654,0.2169116358222535,0.1256094322235253,0.0,0.2003353593571495,0.3111331263284929
block_x3_y0,98.87293929788132,51.92783226970972,3798.4326914911685,623.8261732018512,23,0.3897259713343973,0.3316914144194295,0.111954906853388,0.4307267940214841,0.3763472107443283,0.3068055388175865,0.2568508127073003,0.0209991272523511,0.3907134262283068,0.2351763570804007
block_x3_y1,95.46183721351981,51.13495678346423,3661.177090731534,1184.808066628196,22,0.4985713975632668,0.5319951877329459,0.5621318514734956,0.5471297500891682,0.6773826824202315,0.2326946928943313,0.3068265027166532,0.1445011408818273,0.3643057191167086,0.1925932661737341
block_x3_y10,72.64195654485584,52.095203119502926,3776.827220243566,4949.479233685662,17,0.7975039130424572,0.544002297992377,0.3633630712329748,0.7906554394505684,0.601763286677892,0.2080269925826516,0.225793423329955,0.0388331332145242,0.2476395720493373,0.2623741544315959
block_x3_y11,68.66300806310136,51.5408078002458,3677.8640393708883,5604.543688322368,19,0.0754082639707171,0.2264680523850906,0.4773408267902962,0.0602982688197745,0.2485190322512416,0.2092537755589983,0.6555040749630664,0.1772714602649159,0.5592108834863545,0.281526246367541
block_x3_y2,93.61894600403616,51.94204162476666,3790.9175537109377,1490.2062377929688,10,0.2415831434953037,0.3365885285881866,0.1961827376149683,0.4862778835709209,0.3901569041989239,0.392350887540503,0.3192846283450725,0.0961392920664312,0.3300582480033957,0.4314369317154357
block_x3_y3,89.54293533471622,51.62706445231957,3731.285118689904,2161.725398137019,13,0.3072389719892697,0.3030732655444443,0.1572194388221131,0.4845810155508145,0.2442840545018089,0.2667245857862719,0.4625666955383419,0.2476868406528423,0.2210089661651065,0.4294943888464018
block_x3_y4,87.52508948207367,51.11739264727369,3643.3833984375,2493.49927734375,25,0.7512353124202027,0.5389782022210409,0.3741453478394226,0.6655378815654099,0.4655138759557702,0.1052452395971056,0.3858708493296893,0.0535789415126046,0.1467936549452369,0.1554447714714031
