cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
Plasma Cells,n_cells,pairwise,,,,,,,16659.5,0.7718664977077692,0.8412713871474322,ok,pairwise,S1,S4,100.0,330.0,0.21,1.5454545454545454,-1.3354545454545454
Mast Cells,n_cells,pairwise,,,,,,,1573.0,0.7912273435728394,0.8600297212748255,ok,pairwise,S1,S5,100.0,31.0,0.11,0.0967741935483871,0.013225806451612906
Plasma Cells,fraction,pairwise,,,,,,,12823.0,0.7983921958290316,0.8654657949366197,ok,pairwise,S1,S2,76.0,334.0,0.00021791292515208947,0.00631163977121101,-0.006093726846058921
Unassigned,fraction,pairwise,,,,,,,52813.0,0.8014278413116036,0.8664084770936255,ok,pairwise,S3,S4,486.0,217.0,1.0906258324225692e-05,5.615306577021417e-06,5.290951747204275e-06
Macrophages,fraction,pairwise,,,,,,,36524.5,0.8218071874503844,0.8860454851217082,ok,pairwise,S2,S4,334.0,217.0,0.016830996221619193,0.011780049556769374,0.005050946664849818
Pericytes,n_cells,pairwise,,,,,,,1583.0,0.8363153242281867,0.8992637894926738,ok,pairwise,S1,S5,100.0,31.0,7.68,2.032258064516129,5.647741935483871
11q13 Invasive Tumor Cells,n_cells,pairwise,,,,,,,8733.5,0.8457389682077432,0.9069586790431563,ok,pairwise,S2,S5,555.0,31.0,3.081081081081081,0.5161290322580645,2.5649520488230166
CXCL14+ Fibroblasts,fraction,pairwise,,,,,,,1011.5,0.8496139814864205,0.9086780550656903,ok,pairwise,S1,S5,76.0,26.0,0.005692842126951685,0.004547159380153441,0.0011456827467982442
B Cells,fraction,pairwise,,,,,,,2857.0,0.881116212188239,0.9385901803241848,ok,pairwise,S4,S5,217.0,26.0,0.014650502015040999,0.0008516122252698575,0.01379888978977114
Macrophages,n_cells,pairwise,,,,,,,8525.5,0.8822747695047337,0.9385901803241848,ok,pairwise,S2,S5,555.0,31.0,0.9063063063063063,0.3225806451612903,0.5837256611450159
B Cells,fraction,pairwise,,,,,,,8182.0,0.8880476854166127,0.942225660919483,ok,pairwise,S1,S4,76.0,217.0,0.0006549757654305975,0.014650502015040999,-0.013995526249610401
B Cells,n_cells,pairwise,,,,,,,1567.5,0.8914307697339919,0.9425007275223489,ok,pairwise,S1,S5,100.0,31.0,0.9,0.2903225806451613,0.6096774193548387
Pericytes,fraction,pairwise,,,,,,,1004.5,0.8930194393274257,0.9425007275223489,ok,pairwise,S1,S5,76.0,26.0,0.004538521727193776,0.004209248211766553,0.0003292735154272232
Endothelial Cells,fraction,pairwise,,,,,,,972.0,0.8957815800235933,0.9429279789722035,ok,pairwise,S1,S5,76.0,26.0,0.003822386355861836,0.00617363739703606,-0.002351251041174224
Dendritic Cells,fraction,pairwise,,,,,,,6244.0,0.9074209326847522,0.9526728952070889,ok,pairwise,S3,S5,486.0,26.0,0.028599733164416018,0.010402233421219346,0.01819749974319667
Apocrine Cells,fraction,pairwise,,,,,,,36281.0,0.9126493918215965,0.9539119231729283,ok,pairwise,S2,S4,334.0,217.0,0.0013949648058547977,0.000458175190995404,0.0009367896148593936
Endothelial Cells,n_cells,pairwise,,,,,,,1567.5,0.9133706664380788,0.9539119231729283,ok,pairwise,S1,S5,100.0,31.0,7.13,2.161290322580645,4.968709677419355
Apocrine Cells,fraction,pairwise,,,,,,,996.0,0.9208261345534513,0.959193890159845,ok,pairwise,S1,S5,76.0,26.0,0.0006780542314998804,0.02413996720969152,-0.02346191297819164
Endothelial Cells,n_cells,pairwise,,,,,,,91703.0,0.9470206507548076,0.9839175592257742,ok,pairwise,S2,S4,555.0,330.0,0.9477477477477477,5.7727272727272725,-4.824979524979525
"CAFs, Invasive Associated",n_cells,pairwise,,,,,,,8635.0,0.9564440119575208,0.99113369114769,ok,pairwise,S2,S5,555.0,31.0,1.5657657657657658,0.5161290322580645,1.0496367335077013
Mast Cells,fraction,pairwise,,,,,,,4330.0,0.9592807318224891,0.9915046323746657,ok,pairwise,S2,S5,334.0,26.0,0.0011012374656548807,8.273460127361622e-05,0.0010185028643812644
"CAFs, Invasive Associated",fraction,pairwise,,,,,,,2811.0,0.9653546248842251,0.994476207109948,ok,pairwise,S4,S5,217.0,26.0,0.03845669990930821,0.0005449648682535209,0.03791173504105469
Apocrine Cells,n_cells,pairwise,,,,,,,92704.5,0.9671281114144245,0.994476207109948,ok,pairwise,S3,S4,562.0,330.0,0.010676156583629894,1.1545454545454545,-1.1438692979618246
Apocrine Cells,n_cells,pairwise,,,,,,,1553.0,0.9791684873862475,1.0,ok,pairwise,S1,S5,100.0,31.0,0.13,0.6451612903225806,-0.5151612903225806
Apocrine Cells,n_cells,pairwise,,,,,,,155975.5,0.9818572771069447,1.0,ok,pairwise,S2,S3,555.0,562.0,0.0990990990990991,0.010676156583629894,0.0884229425154692
Apocrine Cells,n_cells,pairwise,,,,,,,91561.0,0.9821334864797494,1.0,ok,pairwise,S2,S4,555.0,330.0,0.0990990990990991,1.1545454545454545,-1.0554463554463553
Macrophages,n_cells,pairwise,,,,,,,5110.0,0.9888401524893301,1.0,ok,pairwise,S4,S5,330.0,31.0,2.8666666666666667,0.3225806451612903,2.544086021505376
B Cells,fraction,pairwise,,,,,,,989.0,0.9958801330872764,1.0,ok,pairwise,S1,S5,76.0,26.0,0.0006549757654305975,0.0008516122252698575,-0.00019663645983926002
Unassigned,fraction,pairwise,,,,,,,12692.0,1.0,1.0,ok,pairwise,S1,S2,76.0,334.0,0.0,0.0,0.0
Unassigned,fraction,pairwise,,,,,,,988.0,1.0,1.0,ok,pairwise,S1,S5,76.0,26.0,0.0,0.0,0.0
Unassigned,fraction,pairwise,,,,,,,4342.0,1.0,1.0,ok,pairwise,S2,S5,334.0,26.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,27750.0,1.0,1.0,ok,pairwise,S1,S2,100.0,555.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,1550.0,1.0,1.0,ok,pairwise,S1,S5,100.0,31.0,0.0,0.0,0.0
Unassigned,n_cells,pairwise,,,,,,,8602.5,1.0,1.0,ok,pairwise,S2,S5,555.0,31.0,0.0,0.0,0.0
