assigned_structure,feature_name,feature_kind,group_mean,rest_mean,effect_size,p_value,fdr,n_group_tiles,n_rest_tiles
S1,embedding__486,embedding,0.84521484375,-0.3251953125,1.169921875,0.0,0.0,866,2248
S5,embedding__11,embedding,1.123046875,-0.0472412109375,1.169921875,0.0,0.0,127,2987
S5,embedding__118,embedding,-1.1220703125,0.0472412109375,-1.1689453125,0.0,0.0,127,2987
S1,embedding__383,embedding,0.84228515625,-0.324462890625,1.1669921875,0.0,0.0,866,2248
S1,embedding__381,embedding,-0.83984375,0.3232421875,-1.1630859375,0.0,0.0,866,2248
S1,embedding__456,embedding,-0.83837890625,0.322265625,-1.16015625,0.0,0.0,866,2248
S1,embedding__480,embedding,0.837890625,-0.32177734375,1.16015625,0.0,0.0,866,2248
S1,embedding__24,embedding,-0.8349609375,0.3212890625,-1.15625,0.0,0.0,866,2248
S1,embedding__118,embedding,-0.83251953125,0.320068359375,-1.15234375,0.0,0.0,866,2248
S1,embedding__7,embedding,-0.82861328125,0.31884765625,-1.1474609375,0.0,0.0,866,2248
S5,embedding__79,embedding,1.099609375,-0.046600341796875,1.146484375,0.0,0.0,127,2987
S1,embedding__11,embedding,0.8232421875,-0.31640625,1.1396484375,0.0,0.0,866,2248
S1,embedding__60,embedding,-0.82177734375,0.316162109375,-1.1376953125,0.0,0.0,866,2248
S2,embedding__49,embedding,1.0869140625,-0.05084228515625,1.1376953125,1.2202696071942052e-23,2.900640869559996e-23,140,2974
S1,embedding__443,embedding,0.82080078125,-0.316162109375,1.13671875,0.0,0.0,866,2248
S1,embedding__492,embedding,-0.8203125,0.31591796875,-1.13671875,0.0,0.0,866,2248
S5,embedding__496,embedding,1.0888671875,-0.0457763671875,1.134765625,1.4360956179476086e-30,3.89222176826922e-30,127,2987
S1,embedding__440,embedding,-0.818359375,0.3154296875,-1.1337890625,0.0,0.0,866,2248
S5,embedding__83,embedding,1.087890625,-0.0460205078125,1.1337890625,0.0,0.0,127,2987
S1,embedding__39,embedding,-0.818359375,0.31494140625,-1.1328125,0.0,0.0,866,2248
S1,embedding__259,embedding,-0.818359375,0.314208984375,-1.1328125,0.0,0.0,866,2248
S1,embedding__208,embedding,-0.814453125,0.31396484375,-1.12890625,0.0,0.0,866,2248
S1,embedding__183,embedding,0.814453125,-0.313720703125,1.1279296875,0.0,0.0,866,2248
S1,embedding__56,embedding,-0.81201171875,0.31298828125,-1.125,0.0,0.0,866,2248
S1,embedding__389,embedding,-0.81103515625,0.312744140625,-1.1240234375,0.0,0.0,866,2248
S1,embedding__124,embedding,0.81005859375,-0.3125,1.123046875,0.0,0.0,866,2248
S1,embedding__184,embedding,0.81103515625,-0.312255859375,1.123046875,0.0,0.0,866,2248
S1,embedding__331,embedding,0.80810546875,-0.31103515625,1.119140625,0.0,0.0,866,2248
S1,embedding__427,embedding,0.8076171875,-0.310791015625,1.1181640625,0.0,0.0,866,2248
S5,embedding__140,embedding,-1.0732421875,0.04522705078125,-1.1181640625,7.187195804854122e-33,2.0456467885135507e-32,127,2987
S1,embedding__351,embedding,0.806640625,-0.310791015625,1.1171875,0.0,0.0,866,2248
S2,embedding__454,embedding,1.06640625,-0.0498046875,1.1162109375,9.819641200439739e-33,2.788820841474181e-32,140,2974
S1,embedding__438,embedding,0.802734375,-0.309326171875,1.1123046875,0.0,0.0,866,2248
S1,embedding__483,embedding,0.802734375,-0.30859375,1.111328125,0.0,0.0,866,2248
S1,embedding__113,embedding,-0.79931640625,0.30810546875,-1.107421875,0.0,0.0,866,2248
S1,embedding__164,embedding,0.7998046875,-0.30810546875,1.107421875,0.0,0.0,866,2248
S1,embedding__96,embedding,-0.7978515625,0.30712890625,-1.10546875,0.0,0.0,866,2248
S1,embedding__269,embedding,-0.7978515625,0.307861328125,-1.10546875,0.0,0.0,866,2248
S1,embedding__152,embedding,-0.79736328125,0.306640625,-1.103515625,0.0,0.0,866,2248
S1,embedding__174,embedding,-0.79638671875,0.306640625,-1.103515625,0.0,0.0,866,2248
S1,embedding__469,embedding,-0.794921875,0.3056640625,-1.1005859375,0.0,0.0,866,2248
S1,embedding__290,embedding,-0.7939453125,0.3046875,-1.0986328125,0.0,0.0,866,2248
S1,embedding__2,embedding,-0.79296875,0.3046875,-1.09765625,0.0,0.0,866,2248
S5,embedding__192,embedding,-1.0537109375,0.0443115234375,-1.09765625,0.0,0.0,127,2987
S1,embedding__349,embedding,0.7919921875,-0.3046875,1.0966796875,0.0,0.0,866,2248
S1,embedding__180,embedding,-0.7890625,0.3037109375,-1.0927734375,0.0,0.0,866,2248
S1,embedding__321,embedding,-0.78515625,0.30224609375,-1.087890625,0.0,0.0,866,2248
S1,embedding__310,embedding,0.78515625,-0.3017578125,1.0869140625,0.0,0.0,866,2248
S1,embedding__253,embedding,-0.78369140625,0.3017578125,-1.0859375,0.0,0.0,866,2248
S1,embedding__142,embedding,-0.78369140625,0.30126953125,-1.0849609375,0.0,0.0,866,2248
S1,embedding__410,embedding,-0.7822265625,0.30126953125,-1.083984375,0.0,0.0,866,2248
S2,embedding__141,embedding,1.03125,-0.048248291015625,1.0791015625,6.938347038260657e-16,1.3474022150193687e-15,140,2974
S1,embedding__55,embedding,-0.77734375,0.299072265625,-1.076171875,0.0,0.0,866,2248
S5,embedding__148,embedding,-1.03125,0.043548583984375,-1.0751953125,1.9535612321470996e-31,5.372808025188545e-31,127,2987
S1,embedding__228,embedding,-0.775390625,0.298828125,-1.07421875,0.0,0.0,866,2248
S5,embedding__204,embedding,-1.02734375,0.043243408203125,-1.0703125,3.719091393678348e-25,9.140139865819668e-25,127,2987
S1,embedding__145,embedding,-0.77001953125,0.297119140625,-1.0673828125,0.0,0.0,866,2248
S1,embedding__160,embedding,-0.77001953125,0.296630859375,-1.06640625,0.0,0.0,866,2248
S1,embedding__258,embedding,0.76904296875,-0.296630859375,1.0654296875,0.0,0.0,866,2248
S2,embedding__264,embedding,-1.013671875,0.04754638671875,-1.0615234375,1.1481362827722099e-21,2.59448978184889e-21,140,2974
S1,embedding__15,embedding,0.765625,-0.294921875,1.060546875,0.0,0.0,866,2248
S1,embedding__219,embedding,0.76611328125,-0.294921875,1.060546875,0.0,0.0,866,2248
S5,embedding__403,embedding,-1.015625,0.042877197265625,-1.05859375,2.4759642890733552e-26,6.243736033315418e-26,127,2987
S4,embedding__176,embedding,0.65283203125,-0.40087890625,1.0537109375,0.0,0.0,1184,1930
