cell_id,x,y,celltype,pathway,score
adiookpm-1,1342.02294921875,1534.53857421875,Macrophages,MacrophageProgram,1.0
adjaahap-1,1416.3199462890625,1537.327392578125,Dendritic Cells,MacrophageProgram,0.8333333333333334
adjblbgn-1,1499.273193359375,1491.30029296875,Dendritic Cells,MacrophageProgram,0.25
adjbnkbi-1,1537.0465087890625,1514.6990966796875,Macrophages,MacrophageProgram,1.0
adjfpmkj-1,1538.82373046875,1675.50830078125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
adjmddna-1,1462.54248046875,1465.0733642578125,Mast Cells,MacrophageProgram,0.16666666666666669
adjnmaha-1,1384.1170654296875,1453.6864013671875,Macrophages,MacrophageProgram,0.8333333333333334
adkhoepl-1,1530.25390625,1540.8006591796875,Macrophages,MacrophageProgram,0.6666666666666667
adkkgpii-1,1560.8946533203125,1733.268798828125,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
adlcilec-1,1374.84033203125,1965.64794921875,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
adneheni-1,823.5595092773438,2046.51806640625,Dendritic Cells,MacrophageProgram,0.75
adnlggoe-1,578.9716186523438,2110.71728515625,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
adnohaep-1,1159.6705322265625,2105.665771484375,Dendritic Cells,MacrophageProgram,0.16666666666666669
adnoojhe-1,1024.5526123046875,2117.195556640625,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
adohmnol-1,914.2268676757812,1662.73583984375,Macrophages,MacrophageProgram,0.6666666666666667
adomihjk-1,938.395263671875,1615.0206298828125,Dendritic Cells,MacrophageProgram,0.5833333333333334
adpijcem-1,4167.591796875,3366.10205078125,T Lymphocytes,MacrophageProgram,0.25
aeafbobb-1,3898.20947265625,3435.335693359375,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
aeahbikc-1,3908.606201171875,3452.252197265625,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
aeahepjf-1,3889.832275390625,3387.56298828125,11q13 Invasive Tumor Cells,MacrophageProgram,0.25
aeaibbfc-1,3854.853515625,3359.331787109375,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
aeapgpnp-1,3992.33642578125,3608.84033203125,T Lymphocytes,MacrophageProgram,0.5
aebcmjbl-1,4046.42724609375,3949.705322265625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
aeboabek-1,4037.3994140625,3933.09521484375,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
aecknacj-1,4062.113525390625,3590.806640625,T Lymphocytes,MacrophageProgram,0.75
aecmhbno-1,4069.19921875,3589.42138671875,Mast Cells,MacrophageProgram,0.25
aedigkdk-1,4122.8818359375,3727.669189453125,T Lymphocytes,MacrophageProgram,0.25
aedjlcjp-1,4074.93505859375,3708.979248046875,Macrophages,MacrophageProgram,0.75
aedjngie-1,4089.7802734375,3714.60205078125,Macrophages,MacrophageProgram,0.4166666666666667
