gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
PECAM1	B Cells	2512	0.2121815286624203	0.1101852870632928	0.116640127388535	0.0767292082643847	0.130789813886195	17	2	0.0767292082643847	endothelial_or_axis_marker	PECAM1|B Cells
PF4	B Cells	2512	0.0039808917197452	0.0027593438716558	0.0039808917197452	0.1132226417323869	0.115588034576888	17	9	0.1132226417323869	contamination_control	PF4|B Cells
PPBP	B Cells	2512	0.009156050955414	0.0063464909048084	0.009156050955414	0.2415066817820325	0.2504688605803255	17	8	0.2415066817820325	contamination_control	PPBP|B Cells
SELP	B Cells	2512	0.0071656050955414	0.0048522958509662	0.0067675159235668	0.0154821690946877	0.0260782204311174	17	1	0.0154821690946877	endothelial_or_axis_marker	SELP|B Cells
VWF	B Cells	2512	0.0342356687898089	0.0195710439219732	0.0222929936305732	0.0118019838455243	0.0253868713944359	17	0	0.0118019838455243	endothelial_or_axis_marker	VWF|B Cells
CLEC14A	Basal-like Structured DCIS Cells	8760	0.0340182648401826	0.0217730809223095	0.0286529680365296	0.0341858582267813	0.0486040905481966	14	7	0.0341858582267813	endothelial_or_axis_marker	CLEC14A|Basal-like Structured DCIS Cells
EMCN	Basal-like Structured DCIS Cells	8760	0.030593607305936	0.0203057357760514	0.0275114155251141	0.0290134747413515	0.0433824186302037	14	3	0.0290134747413515	endothelial_or_axis_marker	EMCN|Basal-like Structured DCIS Cells
FLT1	Basal-like Structured DCIS Cells	8760	0.0818493150684931	0.0532775213329842	0.0707762557077625	0.07621484018642	0.1147320355683729	14	5	0.07621484018642	endothelial_or_axis_marker	FLT1|Basal-like Structured DCIS Cells
GP1BA	Basal-like Structured DCIS Cells	8760	0.014269406392694	0.0097131511611961	0.0136986301369863	0.3882429945469764	0.4212328767123287	14	11	0.3882429945469764	contamination_control	GP1BA|Basal-like Structured DCIS Cells
HBB	Basal-like Structured DCIS Cells	8760	0.0159817351598173	0.0091534459384017	0.0115296803652968	0.1396918477971655	0.2084527536065401	14	12	0.1396918477971655	contamination_control	HBB|Basal-like Structured DCIS Cells
ITGA2B	Basal-like Structured DCIS Cells	8760	0.0100456621004566	0.0067989202656411	0.0094748858447488	0.0860543024887299	0.0940611651200471	14	10	0.0860543024887299	contamination_control	ITGA2B|Basal-like Structured DCIS Cells
KDR	Basal-like Structured DCIS Cells	8760	0.0836757990867579	0.050134376117882	0.0606164383561643	0.0583233342762806	0.0951157504336902	14	4	0.0583233342762806	endothelial_or_axis_marker	KDR|Basal-like Structured DCIS Cells
MMRN2	Basal-like Structured DCIS Cells	8760	0.0674657534246575	0.0420943176594778	0.0531963470319634	0.0705473259946077	0.094357321432261	14	6	0.0705473259946077	endothelial_or_axis_marker	MMRN2|Basal-like Structured DCIS Cells
PECAM1	Basal-like Structured DCIS Cells	8760	0.0501141552511415	0.0311493000356866	0.0394977168949771	0.0216912910373878	0.044289209530917	14	2	0.0216912910373878	endothelial_or_axis_marker	PECAM1|Basal-like Structured DCIS Cells
PF4	Basal-like Structured DCIS Cells	8760	0.0075342465753424	0.0051566609328827	0.0073059360730593	0.2115904361672836	0.212133072407045	14	9	0.2115904361672836	contamination_control	PF4|Basal-like Structured DCIS Cells
PPBP	Basal-like Structured DCIS Cells	8760	0.011986301369863	0.0081769093229437	0.0115296803652968	0.3111606504187248	0.3154008117706748	14	8	0.3111606504187248	contamination_control	PPBP|Basal-like Structured DCIS Cells
SELP	Basal-like Structured DCIS Cells	8760	0.0126712328767123	0.0083948936271542	0.0114155251141552	0.0267854983825105	0.043989047624877	14	1	0.0267854983825105	endothelial_or_axis_marker	SELP|Basal-like Structured DCIS Cells
VWF	Basal-like Structured DCIS Cells	8760	0.0597031963470319	0.0357247227005931	0.0440639269406392	0.0215431839956612	0.0501792296231444	14	0	0.0215431839956612	endothelial_or_axis_marker	VWF|Basal-like Structured DCIS Cells
CLEC14A	CAFs, DCIS Associated	24442	0.0515506096064151	0.0323206068480466	0.0411177481384502	0.0507465014920662	0.069748123514161	9	7	0.0507465014920662	endothelial_or_axis_marker	CLEC14A|CAFs, DCIS Associated
EMCN	CAFs, DCIS Associated	24442	0.0415268799607233	0.0268165331788122	0.035226249897717	0.0383163071072609	0.0555478477085229	9	3	0.0383163071072609	endothelial_or_axis_marker	EMCN|CAFs, DCIS Associated
FLT1	CAFs, DCIS Associated	24442	0.0830537599214466	0.0543076057896063	0.0724572457245724	0.0776884020240531	0.1174570088587806	9	5	0.0776884020240531	endothelial_or_axis_marker	FLT1|CAFs, DCIS Associated
GP1BA	CAFs, DCIS Associated	24442	0.0198838065624744	0.0131729225135657	0.018001800180018	0.5265330271018102	0.5535553555355535	9	11	0.5265330271018102	contamination_control	GP1BA|CAFs, DCIS Associated
HBB	CAFs, DCIS Associated	24442	0.0133376974061042	0.007988252819741	0.010187382374601	0.1219096944003347	0.1841844561814672	9	12	0.1219096944003347	contamination_control	HBB|CAFs, DCIS Associated
ITGA2B	CAFs, DCIS Associated	24442	0.0199247197447017	0.0134148481495626	0.0186154979134277	0.1697924604788679	0.1848038542857218	9	10	0.1697924604788679	contamination_control	ITGA2B|CAFs, DCIS Associated
KDR	CAFs, DCIS Associated	24442	0.0457818509123639	0.0282488982848719	0.0357581212666721	0.0328630784939114	0.0561095410851128	9	4	0.0328630784939114	endothelial_or_axis_marker	KDR|CAFs, DCIS Associated
MMRN2	CAFs, DCIS Associated	24442	0.0258571311676622	0.0165633741955356	0.0216430733982489	0.0277591329166023	0.0383895238557175	9	6	0.0277591329166023	endothelial_or_axis_marker	MMRN2|CAFs, DCIS Associated
PECAM1	CAFs, DCIS Associated	24442	0.0796988789788069	0.0471977616614245	0.0569511496604205	0.0328668825090231	0.0638599290952369	9	2	0.0328668825090231	endothelial_or_axis_marker	PECAM1|CAFs, DCIS Associated
PF4	CAFs, DCIS Associated	24442	0.0086326814499631	0.0059248688624453	0.0084281155388266	0.2431118902630549	0.2447163547523583	9	9	0.2431118902630549	contamination_control	PF4|CAFs, DCIS Associated
PPBP	CAFs, DCIS Associated	24442	0.0110465592013746	0.0074049027163915	0.010187382374601	0.281783037394656	0.2786815045140878	9	8	0.281783037394656	contamination_control	PPBP|CAFs, DCIS Associated
SELP	CAFs, DCIS Associated	24442	0.0214385074871123	0.0140318842334462	0.0187791506423369	0.044771384740697	0.0723643409917399	9	1	0.044771384740697	endothelial_or_axis_marker	SELP|CAFs, DCIS Associated
VWF	CAFs, DCIS Associated	24442	0.072539072089027	0.0409118728978425	0.0477865968415023	0.0246712063472698	0.0544185410221994	9	0	0.0246712063472698	endothelial_or_axis_marker	VWF|CAFs, DCIS Associated
CLEC14A	CAFs, Invasive Associated	4001	0.0717320669832541	0.0434648940221394	0.0537365658585353	0.0682441180549896	0.0911534508190418	15	7	0.0682441180549896	endothelial_or_axis_marker	CLEC14A|CAFs, Invasive Associated
EMCN	CAFs, Invasive Associated	4001	0.0354911272181954	0.0224370067264638	0.0287428142964258	0.0320587017928969	0.0453241964696245	15	3	0.0320587017928969	endothelial_or_axis_marker	EMCN|CAFs, Invasive Associated
FLT1	CAFs, Invasive Associated	4001	0.0722319420144963	0.0457991076729008	0.0587353161709572	0.0655167805227785	0.0952130388455517	15	5	0.0655167805227785	endothelial_or_axis_marker	FLT1|CAFs, Invasive Associated
GP1BA	CAFs, Invasive Associated	4001	0.0137465633591602	0.0088781638987084	0.0117470632341914	0.3548678364940589	0.3612221944513871	15	11	0.3548678364940589	contamination_control	GP1BA|CAFs, Invasive Associated
