dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,filter_name,n_tiles_min,n_cells_min,n_contours,partial_spearman_rho,abs_partial_spearman_rho,reported_partial_rho
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,n_cells_ge_20,,20.0,252,0.3757957429110076,0.3757957429110076,0.3909301306362649
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,n_cells_ge_50,,50.0,208,0.3666934956231962,0.3666934956231962,0.3909301306362649
breast,UNI,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__361__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,0.4269890053874761,0.4269890053874761,0.3909301306362649
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,full_set,,,300,0.3037533216933441,0.3037533216933441,0.3037533216933442
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,n_tiles_ge_2,2.0,,193,0.3510412630002157,0.3510412630002157,0.3037533216933442
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,n_tiles_ge_3,3.0,,135,0.3561384035162152,0.3561384035162152,0.3037533216933442
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,n_cells_ge_20,,20.0,252,0.2971377012187047,0.2971377012187047,0.3037533216933442
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,n_cells_ge_50,,50.0,208,0.3406889806508195,0.3406889806508195,0.3037533216933442
breast,UNI,emt_invasion,program__wta_emt_invasion,embedding__440__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,121,0.3994175791047552,0.3994175791047552,0.3037533216933442
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,full_set,,,215,-0.5273150725314932,0.5273150725314932,-0.5273150725314932
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,n_tiles_ge_2,2.0,,120,-0.5602756432894791,0.5602756432894791,-0.5273150725314932
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,n_tiles_ge_3,3.0,,83,-0.5170965188576884,0.5170965188576884,-0.5273150725314932
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,n_cells_ge_20,,20.0,209,-0.5149146418876642,0.5149146418876642,-0.5273150725314932
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,n_cells_ge_50,,50.0,195,-0.5308997892715869,0.5308997892715869,-0.5273150725314932
cervical,UNI,epithelial_identity,program__wta_epithelial_identity,embedding__736__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.5142352051648706,0.5142352051648706,-0.5273150725314932
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,full_set,,,215,0.5547145368126261,0.5547145368126261,0.5547145368126256
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,n_tiles_ge_2,2.0,,120,0.511285817870494,0.511285817870494,0.5547145368126256
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,n_tiles_ge_3,3.0,,83,0.5661748499707894,0.5661748499707894,0.5547145368126256
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,n_cells_ge_20,,20.0,209,0.5590848456074634,0.5590848456074634,0.5547145368126256
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,n_cells_ge_50,,50.0,195,0.5547591653716195,0.5547591653716195,0.5547145368126256
cervical,UNI,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__733__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.5647168628570358,0.5647168628570358,0.5547145368126256
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,full_set,,,215,-0.6145227511396409,0.6145227511396409,-0.6145227511396415
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,n_tiles_ge_2,2.0,,120,-0.6241387560385507,0.6241387560385507,-0.6145227511396415
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,n_tiles_ge_3,3.0,,83,-0.6386906559328874,0.6386906559328874,-0.6145227511396415
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,n_cells_ge_20,,20.0,209,-0.6070786833950693,0.6070786833950693,-0.6145227511396415
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,n_cells_ge_50,,50.0,195,-0.6109426863930264,0.6109426863930264,-0.6145227511396415
cervical,UNI,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__924__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.6339392190913662,0.6339392190913662,-0.6145227511396415
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,full_set,,,215,-0.6332495591064778,0.6332495591064778,-0.6332495591064775
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,n_tiles_ge_2,2.0,,120,-0.6066612746910851,0.6066612746910851,-0.6332495591064775
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,n_tiles_ge_3,3.0,,83,-0.6326134894433064,0.6326134894433064,-0.6332495591064775
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,n_cells_ge_20,,20.0,209,-0.6111375752442243,0.6111375752442243,-0.6332495591064775
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,n_cells_ge_50,,50.0,195,-0.6177591349153858,0.6177591349153858,-0.6332495591064775
cervical,UNI,immune_exclusion,program__wta_immune_exclusion,embedding__924__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.6309556547805327,0.6309556547805327,-0.6332495591064775
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,full_set,,,215,0.5337338714577092,0.5337338714577092,0.5337338714577103
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,n_tiles_ge_2,2.0,,120,0.499253844128097,0.499253844128097,0.5337338714577103
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,n_tiles_ge_3,3.0,,83,0.5649409362693817,0.5649409362693817,0.5337338714577103
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,n_cells_ge_20,,20.0,209,0.574306383542672,0.574306383542672,0.5337338714577103
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,n_cells_ge_50,,50.0,195,0.5682102980825848,0.5682102980825848,0.5337338714577103
cervical,UNI,emt_invasion,program__wta_emt_invasion,embedding__471__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.5629576449512111,0.5629576449512111,0.5337338714577103
