dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,reported_partial_rho,perturbation,dx_px,dy_px,rotation_deg,scale,base_partial_spearman_rho,base_n_contours,perturbed_partial_spearman_rho,perturbed_n_contours,delta_from_base,sign_matches_base,assignment_fraction,n_assigned_tiles,n_total_tiles
cervical,plip,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,-0.5546367783538505,identity,0.0,0.0,0.0,1.0,-0.5546367783538496,215,-0.5546015611909726,215,3.521716287702148e-05,True,1.0,2219,2219
cervical,plip,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,0.5519909003397802,identity,0.0,0.0,0.0,1.0,0.5519909003397799,215,0.5519418972735826,215,-4.9003066197372824e-05,True,1.0,2219,2219
cervical,plip,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,0.550629559322338,identity,0.0,0.0,0.0,1.0,0.5506295593223375,215,0.5506735570985057,215,4.399777616825862e-05,True,1.0,2219,2219
cervical,plip,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,-0.5455068221700174,identity,0.0,0.0,0.0,1.0,-0.5455068221700179,215,-0.5455181269440306,215,-1.1304774012677044e-05,True,1.0,2219,2219
cervical,plip,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,0.543928085731983,identity,0.0,0.0,0.0,1.0,0.5439280857319826,215,0.5439977757060263,215,6.968997404366295e-05,True,1.0,2219,2219
cervical,plip,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,0.5407668005498537,identity,0.0,0.0,0.0,1.0,0.5407668005498536,215,0.5408391916326856,215,7.239108283196849e-05,True,1.0,2219,2219
cervical,plip,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,0.522184084404558,identity,0.0,0.0,0.0,1.0,0.522184084404558,215,0.5223720534009517,215,0.0001879689963937,True,1.0,2219,2219
cervical,plip,immune_activation,program__wta_immune_activation,embedding__29__mean,,0.5048677850916053,identity,0.0,0.0,0.0,1.0,0.5048677850916052,215,0.5048353893327013,215,-3.239575890390256e-05,True,1.0,2219,2219
cervical,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,-0.4874911058285079,identity,0.0,0.0,0.0,1.0,-0.4874911058285079,215,-0.4875905881143586,215,-9.948228585071606e-05,True,1.0,2219,2219
cervical,plip,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,0.4786591638609392,identity,0.0,0.0,0.0,1.0,0.4786591638609391,215,0.4787783878921406,215,0.0001192240312014,True,1.0,2219,2219
cervical,plip,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,-0.5546367783538505,shift_x_-32px,-32.0,0.0,0.0,1.0,-0.5546367783538496,215,-0.5491107263372654,216,0.0055260520165841,True,0.9995493465525012,2218,2219
cervical,plip,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,0.5519909003397802,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5519909003397799,215,0.5589658084317374,216,0.0069749080919574,True,0.9995493465525012,2218,2219
cervical,plip,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,0.550629559322338,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5506295593223375,215,0.5164743387636488,216,-0.0341552205586886,True,0.9995493465525012,2218,2219
cervical,plip,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,-0.5455068221700174,shift_x_-32px,-32.0,0.0,0.0,1.0,-0.5455068221700179,215,-0.5401626749560762,216,0.0053441472139417,True,0.9995493465525012,2218,2219
cervical,plip,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,0.543928085731983,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5439280857319826,215,0.5257410098316293,216,-0.0181870759003532,True,0.9995493465525012,2218,2219
cervical,plip,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,0.5407668005498537,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5407668005498536,215,0.5371639702069392,216,-0.0036028303429144,True,0.9995493465525012,2218,2219
cervical,plip,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,0.522184084404558,shift_x_-32px,-32.0,0.0,0.0,1.0,0.522184084404558,215,0.5118615095490703,216,-0.0103225748554877,True,0.9995493465525012,2218,2219
cervical,plip,immune_activation,program__wta_immune_activation,embedding__29__mean,,0.5048677850916053,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5048677850916052,215,0.518724754709824,216,0.0138569696182188,True,0.9995493465525012,2218,2219
cervical,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,-0.4874911058285079,shift_x_-32px,-32.0,0.0,0.0,1.0,-0.4874911058285079,215,-0.4938699717481873,216,-0.0063788659196794,True,0.9995493465525012,2218,2219
cervical,plip,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,0.4786591638609392,shift_x_-32px,-32.0,0.0,0.0,1.0,0.4786591638609391,215,0.4923169355528922,216,0.013657771691953,True,0.9995493465525012,2218,2219
cervical,plip,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,-0.5546367783538505,shift_x_-16px,-16.0,0.0,0.0,1.0,-0.5546367783538496,215,-0.5525811690588331,214,0.0020556092950164,True,1.0,2219,2219
cervical,plip,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,0.5519909003397802,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5519909003397799,215,0.5653457422734868,214,0.0133548419337068,True,1.0,2219,2219
cervical,plip,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,0.550629559322338,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5506295593223375,215,0.5382921393377256,214,-0.0123374199846119,True,1.0,2219,2219
cervical,plip,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,-0.5455068221700174,shift_x_-16px,-16.0,0.0,0.0,1.0,-0.5455068221700179,215,-0.5474745569827013,214,-0.0019677348126834,True,1.0,2219,2219
cervical,plip,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,0.543928085731983,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5439280857319826,215,0.5491791964918015,214,0.0052511107598188,True,1.0,2219,2219
cervical,plip,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,0.5407668005498537,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5407668005498536,215,0.54938755372548,214,0.0086207531756263,True,1.0,2219,2219
cervical,plip,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,0.522184084404558,shift_x_-16px,-16.0,0.0,0.0,1.0,0.522184084404558,215,0.5290283338771129,214,0.0068442494725549,True,1.0,2219,2219
cervical,plip,immune_activation,program__wta_immune_activation,embedding__29__mean,,0.5048677850916053,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5048677850916052,215,0.5309327118164142,214,0.0260649267248089,True,1.0,2219,2219
cervical,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__247__mean,,-0.4874911058285079,shift_x_-16px,-16.0,0.0,0.0,1.0,-0.4874911058285079,215,-0.4880025677182265,214,-0.0005114618897186,True,1.0,2219,2219
cervical,plip,emt_invasion,program__wta_emt_invasion,embedding__293__mean,,0.4786591638609392,shift_x_-16px,-16.0,0.0,0.0,1.0,0.4786591638609391,215,0.4917266987542248,214,0.0130675348932857,True,1.0,2219,2219
cervical,plip,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,-0.5546367783538505,shift_x_-8px,-8.0,0.0,0.0,1.0,-0.5546367783538496,215,-0.5505135338965532,215,0.0041232444572963,True,1.0,2219,2219
cervical,plip,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,0.5519909003397802,shift_x_-8px,-8.0,0.0,0.0,1.0,0.5519909003397799,215,0.5603649308362719,215,0.0083740304964919,True,1.0,2219,2219
cervical,plip,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,0.550629559322338,shift_x_-8px,-8.0,0.0,0.0,1.0,0.5506295593223375,215,0.5456347104554207,215,-0.0049948488669168,True,1.0,2219,2219
