cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
lfnifopo-1,0.5660032329965713,0.2734232885985187,0.0,0.5730714486022053,0.38594540423544327,0.0,0.05229884580697631,0.0,0.05466315861664412,0.0
lfppdmbg-1,0.4148201413300094,0.4542362254049502,0.06389070589134484,0.2815730961008588,0.6132892212660949,0.037049890192783756,0.0,0.0,0.0,0.05783489391684099
lgafibck-1,0.5926401473827438,0.402622014971717,0.0,0.32670611813235656,0.17324321509888235,0.0,0.04319396206929336,0.05936827881430302,0.0,0.05636249667111204
lgdmhocc-1,0.8855733960263292,0.4788146804070604,0.0,0.5155555477003491,0.3654113657951578,0.0,0.0,0.0,0.0,0.0
lgedinjj-1,0.3210551062395247,0.28288560513110017,0.5438004616080975,0.22747063920172247,0.18792205094002834,0.34672872279390266,0.13753818110437965,0.0,0.09257996792166837,0.2706218398538314
lgjekjoh-1,0.7312631064419486,0.5620850729504625,0.0,0.26582875833011926,0.3472027575691487,0.0,0.0,0.06410936394798679,0.0,0.06086354336476036
lglfihjp-1,0.5678995315358206,0.5052797836273425,0.06538774987268078,0.24000085228991053,0.29177313487204015,0.03791801826162355,0.04536087981009997,0.0,0.04741154283216069,0.0
lglmnbij-1,0.7619245353315793,0.32734649529448995,0.1717943646012958,0.32437358000776617,0.43537270194551536,0.049811332144628226,0.21223876467345368,0.0,0.30440834337047,0.1851462768430482
lgmbfddo-1,0.0,0.0,0.0,0.0,0.627847088544303,0.7514452345863296,0.7167351453205106,0.13558158583821125,0.715467114831926,0.2377022724845063
lgmbiile-1,0.0,0.0,0.0,0.094021965252232,0.0,0.16836669124565587,0.0857234495289055,0.0,0.1826321755879128,0.3789662128891489
lgmfcmjj-1,0.0,0.0,0.0,0.13493074195306096,0.0,0.20567209898913502,0.0,0.0,0.29114662225902455,0.0
lgnbmghe-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19311562857569292,0.0
lgoaggpm-1,0.5398841577370449,0.279098189110705,0.0,0.31744623700257885,0.20388297501094774,0.0,0.0,0.0,0.0,0.12539632418498278
lgohmepf-1,0.7826298089122349,0.2301849259320669,0.0,0.30994376195791545,0.16433954393503244,0.0,0.0,0.0,0.0,0.0
lhbpocjb-1,0.47757695018341406,0.09681756223581874,0.3068894091434936,0.3065473146583653,0.16418511544352785,0.0,0.14860407214582239,0.0,0.0,0.16273831668185856
lhfblaln-1,0.42892751290904896,0.2935324883116949,0.699679725786799,0.37679735635642003,0.43868553243590913,0.300953237392126,0.3196071127878432,0.0,0.26787398093083553,0.4891360033862528
lhggjkcf-1,0.9586491899000972,0.7094256205475057,0.09612946989056587,0.3191941448337747,0.48304120399319966,0.0,0.0,0.0,0.0,0.0
lhhgajnk-1,0.0,0.0,0.0,0.0,0.0,0.8069012213994857,0.4179788381532983,0.0,0.7148541883639263,0.0
lhijagfe-1,0.5294115086746213,0.17755403077985696,0.0,0.19208505460546832,0.0,0.0,0.0,0.0,0.0,0.0
lhjbmnol-1,0.0,0.0,0.0,0.0,0.0,0.12138485807878781,0.14521127976908618,0.0,0.3590860179443181,0.4667764598737114
lhlciach-1,0.5025016230495056,0.15731722467247905,0.18126230670733035,0.17370633257949533,0.0,0.237501534108087,0.3376910636804033,0.0,0.22152710589578545,0.20665843944473603
lhmahlnb-1,0.2608225588311083,0.0,0.0,0.17132175371151964,0.0,0.2611421546959672,0.535771484952591,0.0,0.5248894394957874,0.2038215057516985
lhmdfibc-1,0.4848900600512061,0.19753066619094645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhndanpc-1,0.6679740853915693,0.38614856708472733,0.3890321154839959,0.350461925421098,0.3212759916218618,0.16514920510750727,0.1802882579007783,0.0,0.1625897620444736,0.3115722783698899
lhnldclh-1,0.666494429000183,0.5668759949136046,0.0,0.30635655096732944,0.26021519906587226,0.0,0.0,0.0,0.0,0.0
