ligand,Hypoxic Tumor Cells,Exhausted T Cells,Dyskeratotic Tumor Cells,Metabolic Invasive Basal Cells,Dendritic Cells,B Cells,Cytotoxic T Cells,Stroma & Smooth Muscle,Regulatory T Cells,Macrophages,Plasma Cells,Neutrophils,Naive & Memory T Cells,Migratory Invasive Basal Cells,Parabasal Tumor Cells,Mast Cells,Endothelial Cells,OR4F17+ Cells,Detachment,Interstitial Fibroblasts,Differentiating Tumor Cells,Proliferative Parabasal Cells,Cancer Associated Fibroblasts,Endocervical Columnar Cells,Endocervical Ciliated Cells,nan,Smooth Muscle
ALB,0.4534754730629066,0.0805606902981265,0.2633896299904608,0.2893872966566833,0.2893872966566833,0.1613510334533992,0.1613510334533992,0.2893872966566833,0.1175014231306859,0.1613510334533992,0.1613510334533992,0.2633896299904608,0.1613510334533992,0.2893872966566833,0.2893872966566833,0.1613510334533992,0.2893872966566833,0.2633896299904608,0.2893872966566833,0.2893872966566833,0.2893872966566833,0.2893872966566833,0.1175014231306859,1.0,1.0,,0.2893872966566833
ALCAM,0.4536398675329782,0.0757070115226141,0.2663360528070823,0.2887462633619955,0.2887462633619955,0.1611969592976133,0.1611969592976133,0.2887462633619955,0.1027361293091476,0.1611969592976133,0.1611969592976133,0.2663360528070823,0.1611969592976133,0.2887462633619955,0.2887462633619955,0.1611969592976133,0.2887462633619955,0.2663360528070823,0.2887462633619955,0.2887462633619955,0.2887462633619955,0.2887462633619955,0.1027361293091476,1.0,1.0,,0.2887462633619955
ALKAL1,0.4557231725070829,0.1004269702047828,0.2953093545267664,0.1675561449864535,0.0841766388925996,0.2953093545267664,0.2953093545267664,0.2112407009237338,0.1195981437960561,0.2953093545267664,0.2953093545267664,0.2953093545267664,0.2953093545267664,0.1675561449864535,0.1675561449864535,0.2953093545267664,0.2112407009237338,0.2953093545267664,0.2112407009237338,0.2112407009237338,0.1675561449864535,0.1675561449864535,0.1195981437960561,1.0,1.0,,0.2391207916277019
ALKAL2,0.4562533567566643,0.0981808151674253,0.2957586975364683,0.1658296876183056,0.0800554727019157,0.2957586975364683,0.2957586975364683,0.2101914446239462,0.1146064394080409,0.2957586975364683,0.2957586975364683,0.2957586975364683,0.2957586975364683,0.1658296876183056,0.1658296876183056,0.2957586975364683,0.2101914446239462,0.2957586975364683,0.2101914446239462,0.2101914446239462,0.1658296876183056,0.1658296876183056,0.1146064394080409,1.0,1.0,,0.2381544502009951
AMELX,0.4539428228619556,0.0836068674673281,0.2633682457140633,0.2890650191794768,0.2890650191794768,0.1643722518664014,0.1643722518664014,0.2890650191794768,0.1202507947790382,0.1643722518664014,0.1643722518664014,0.2633682457140633,0.1643722518664014,0.2890650191794768,0.2890650191794768,0.1643722518664014,0.2890650191794768,0.2633682457140633,0.2890650191794768,0.2890650191794768,0.2890650191794768,0.2890650191794768,0.1202507947790382,1.0,1.0,,0.2890650191794768
AMH,0.4582319267189672,0.1625638227171613,0.2985669852969525,0.0814686518404675,0.0288331320845197,0.2985669852969525,0.2985669852969525,0.2115480216711192,0.1625638227171613,0.2985669852969525,0.2985669852969525,0.2985669852969525,0.2985669852969525,0.0814686518404675,0.1121649216751395,0.2985669852969525,0.2115480216711192,0.2985669852969525,0.2115480216711192,0.2115480216711192,0.1121649216751395,0.1121649216751395,0.1625638227171613,1.0,1.0,,0.2363734036730328
ANG,0.4541685235014437,0.0711527598939192,0.2654335922447806,0.2887344612552251,0.2887344612552251,0.1609826906503922,0.1609826906503922,0.2887344612552251,0.1105918388183973,0.1609826906503922,0.1609826906503922,0.2654335922447806,0.1609826906503922,0.2887344612552251,0.2887344612552251,0.1609826906503922,0.2887344612552251,0.2654335922447806,0.2887344612552251,0.2887344612552251,0.2887344612552251,0.2887344612552251,0.1105918388183973,1.0,1.0,,0.2887344612552251
ANGPT1,0.455696715056001,0.1066190506967088,0.2687946202379598,0.2873028161864038,0.2873028161864038,0.1647364931028267,0.1647364931028267,0.2873028161864038,0.0595483403165153,0.1647364931028267,0.1647364931028267,0.2687946202379598,0.1647364931028267,0.2873028161864038,0.2873028161864038,0.1647364931028267,0.2873028161864038,0.2687946202379598,0.2873028161864038,0.2873028161864038,0.2873028161864038,0.2873028161864038,0.0742470238533568,1.0,1.0,,0.2873028161864038
ANGPT2,0.452328007903553,0.085667001063509,0.2670153337879286,0.2908283534035322,0.2908283534035322,0.1503910141050265,0.1503910141050265,0.2908283534035322,0.1101865687465394,0.1503910141050265,0.1503910141050265,0.2670153337879286,0.1503910141050265,0.2908283534035322,0.2908283534035322,0.1503910141050265,0.2908283534035322,0.2670153337879286,0.2908283534035322,0.2908283534035322,0.2908283534035322,0.2908283534035322,0.1101865687465394,1.0,1.0,,0.2908283534035322
ANGPT4,0.4590972232039764,0.2970166284825343,0.2970166284825343,0.1658783725619824,0.1658783725619824,0.2970166284825343,0.2970166284825343,0.0700259049166405,0.114631790791065,0.2970166284825343,0.2970166284825343,0.2970166284825343,0.2970166284825343,0.1658783725619824,0.1658783725619824,0.2970166284825343,0.0700259049166405,0.2970166284825343,0.2322688249420602,0.2322688249420602,0.1658783725619824,0.1658783725619824,0.114631790791065,1.0,1.0,,0.2245636668635036
