ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
DLL4,NOTCH3,B Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.509882268986773,0.0,0.0,0.00023276310008261776,0.00526416445270294,0.0,0.0,0.0,0.0,15,1.0,9.246034231921015e-06
DLL4,NOTCH3,Apocrine Cells,Dendritic Cells,precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0001268124169210086,0.009044464882971325,0.0,0.0,0.0,0.0,64,1.0,9.155621594885303e-06
JAG1,NOTCH1,Apocrine Cells,CXCL14+ Fibroblasts,precomputed,precomputed,precomputed,0.0,0.7395744237294981,0.0,0.0010709508378277067,0.0007383002999486475,0.0,0.007142857142857143,1.0,0.0,20,1.0,9.144621499080867e-06
CXCL12,CXCR4,Apocrine Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.0,0.0,1.0,0.00022698568102339834,0.002454914102060298,0.0,0.0006880102742867628,0.027955305141963056,0.0,991,1.0,9.071433990104074e-06
CXCL12,CXCR4,Apocrine Cells,11q13 Invasive Tumor Cells (G1/S),precomputed,precomputed,precomputed,0.0,0.6167051131442042,0.0,0.00022698568102339834,0.0038860320327025817,0.0,0.0,0.0,0.0,4,1.0,9.035116858486445e-06
CXCL12,CXCR4,Apocrine Cells,Myeloid Cells,precomputed,precomputed,precomputed,0.0,0.7370798554171776,0.0,0.00022698568102339834,0.003215470541813311,0.0,0.0,0.0,0.0,20,1.0,9.018403681856616e-06
DLL4,NOTCH3,Apocrine Cells,CXCL14+ Fibroblasts,precomputed,precomputed,precomputed,0.0,0.8544260293908458,0.0,0.0001268124169210086,0.004265561924923322,0.0,0.0,0.0,0.0,20,1.0,8.79308547920562e-06
JAG1,NOTCH1,Myeloid Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.508890947751274,0.0,0.0,0.0003788349535045612,0.0019835632600448422,0.0,0.005952380952380952,0.46985441359528085,0.0,24,1.0,8.51966295960722e-06
DLL4,NOTCH3,Apocrine Cells,T Lymphocytes,precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.0001268124169210086,0.0046263543438723525,0.0,0.0,0.0,0.0,74,1.0,8.187737562911374e-06
JAG1,NOTCH1,Macrophages,Apocrine Cells,precomputed,precomputed,precomputed,0.508890947751274,0.0,0.0,0.00027502314493788786,0.0019835632600448422,0.0,0.0,0.0,0.0,19,1.0,8.076868317606584e-06
JAG1,NOTCH1,Plasma Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.508890947751274,0.0,0.0,0.00027055134627077156,0.0019835632600448422,0.0,0.0,0.0,0.0,24,1.0,8.054831412587708e-06
CXCL12,CXCR4,11q13 Invasive Tumor Cells (G1/S),Apocrine Cells,precomputed,precomputed,precomputed,0.48278432644270686,0.0,0.0,0.0001971810371238748,0.002454914102060298,0.0,0.0,0.0,0.0,4,1.0,7.848374813100524e-06
JAG1,NOTCH1,CXCL14+ Fibroblasts,Apocrine Cells,precomputed,precomputed,precomputed,0.508890947751274,0.0,0.0,0.0002196427612790349,0.0019835632600448422,0.0,0.0,0.0,0.0,29,1.0,7.779797168587517e-06
DLL4,NOTCH3,Apocrine Cells,Macrophages,precomputed,precomputed,precomputed,0.0,0.87086264223811,0.0,0.0001268124169210086,0.001891930584070094,0.0,0.0,0.0,0.0,15,1.0,7.703277283204021e-06
CXCL12,CXCR4,Apocrine Cells,CXCL14+ Fibroblasts,precomputed,precomputed,precomputed,0.0,0.7370798554171776,0.0,0.00022698568102339834,0.0012252690191386984,0.0,0.0,0.0,0.0,20,1.0,7.678820632871056e-06
JAG1,NOTCH1,B Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.8289287788808167,0.0,0.0,0.00011090031177372873,0.0019835632600448422,0.0,0.0,0.0,0.0,15,1.0,7.530484154705502e-06
