image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis,run_id,run_dir
embedding__plip_016,10,0.1527047383093039,0.0628232260248192,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_000,10,0.1523473356840818,0.0458839427139368,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_018,10,0.1491998807749537,0.0635593094303755,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_017,10,0.1491433050629354,0.0591180154333801,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_037,10,0.1464172824776499,0.0911392317877361,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_060,10,0.1456903178225189,0.0784683889222553,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_046,10,0.1440307000198263,0.0563783442059901,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_010,10,0.1435284276722946,0.0778786902647391,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_034,10,0.1433639402724213,0.0783816902423013,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_001,10,0.1432281800850634,0.0645974487645102,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_054,10,0.1427861160170312,0.0757230348413063,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_056,10,0.1420390485162261,0.0681965904139581,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_062,10,0.1363592191775488,0.0330142925017761,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_030,10,0.1328480034072285,0.0590431937442708,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_021,10,0.1263577302150942,0.0539091513450274,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_007,10,0.1209621763260336,0.0408626715821633,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_043,10,0.1158788527283579,0.0538772462022965,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_024,10,0.110620470955235,0.0449460646474501,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_020,10,0.1103612062690691,0.045351945483932,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_041,10,0.1088485732497733,0.0515765658657401,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_006,10,0.1088316409259139,0.0527392325690811,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_003,10,0.1010362877526054,0.0408980016045787,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_050,10,0.0965043998038024,0.0390489144608634,0,,,0,0,0,,breast_discovery,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
embedding__plip_041,10,0.2949184068411153,0.1294904236185706,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,2,0,0,collagen_ecm_organization;myofibroblast_caf_activation,cervical_validation,40,False,plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_bins12_null12_20260512_1934
