region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center
0,20,0.08456501,-0.09299356,-0.028305346,-0.1525165,-0.09408107,-0.0005441292,-0.0473126,0.68904954,0.08456501,-0.09299356,-0.028305346,-0.1525165,-0.0912718,-0.032085612,-0.05364835,-0.012244626,-0.012244626,-0.05364835,0.18118209,0.11585904,0.121145375,0.5429515,908,1.490325927734375,479.4687563578288,4838.172390063603,5079.916523993015,240.47954114278158,4959.044457028309
0,21,-0.0076532643,-0.13238211,-0.0059218393,-0.47600013,-0.03966567,-0.271313,-0.15548934,0.76359916,-0.0076532643,-0.13238211,-0.0059218393,-0.47600013,-0.20476802,-0.16319175,-0.20534517,-0.048652403,-0.048652403,-0.20534517,0.2199544,0.049794804,0.26402187,0.30369356,731,1.490325927734375,479.4687563578288,5079.916523993015,5321.660657922426,240.47954114278158,5200.788590957721
0,22,-0.064211555,-0.118834,-0.08361756,-0.62186366,-0.023873836,-0.42038956,-0.22213168,0.78190106,-0.064211555,-0.118834,-0.08361756,-0.62186366,-0.27477172,-0.25656426,-0.26830307,-0.0888877,-0.0888877,-0.26830307,0.24638554,0.020615797,0.3995984,0.13052209,498,1.490325927734375,479.4687563578288,5321.660657922426,5563.404791851838,240.47954114278158,5442.532724887133
1,0,-0.10552722,-0.94356567,-0.10401954,-0.8555311,-0.48800772,-0.516314,-0.5021609,0.6961691,-0.10552722,-0.94356567,-0.10401954,-0.8555311,-0.6343721,-0.35502598,-0.63487464,-0.3843708,-0.3843708,-0.63487464,0.17871253,0.0067019407,0.06349207,0.05026455,378,479.4687563578288,957.4471867879232,3.2897114753723145,245.03384540478388,718.457971572876,124.1617784400781
1,1,-0.01761081,-0.5444991,-0.059931617,-0.53285253,-0.3174526,-0.25999442,-0.2887235,0.63676,-0.01761081,-0.5444991,-0.059931617,-0.53285253,-0.37909442,-0.20346498,-0.3649875,-0.20734718,-0.20734718,-0.3649875,0.15811366,0.021872016,0.07234957,0.14899713,1396,479.4687563578288,957.4471867879232,245.03384540478388,486.77797933419544,718.457971572876,365.90591236948967
1,2,-0.05544962,-0.57254666,0.10207408,-0.5199569,-0.30437675,-0.21856278,-0.26146978,0.6613729,-0.05544962,-0.57254666,0.10207408,-0.5199569,-0.33014315,-0.15777747,-0.38265106,-0.17530741,-0.17530741,-0.38265106,0.21678783,0.02149736,0.25908667,0.1500466,1073,479.4687563578288,957.4471867879232,486.77797933419544,728.522113263607,718.457971572876,607.6500462989012
1,3,-0.18445116,-0.36910176,-0.13999021,-0.6058267,-0.31041273,-0.33927217,-0.32484242,0.575083,-0.18445116,-0.36910176,-0.13999021,-0.6058267,-0.37163955,-0.31008935,-0.38645986,-0.23118106,-0.23118106,-0.38645986,0.09275483,0.0042516124,0.05645583,0.031887088,1913,479.4687563578288,957.4471867879232,728.522113263607,970.2662471930186,718.457971572876,849.3941802283127
1,4,-0.01663229,-0.3930583,0.04554812,-0.49457937,-0.20660585,-0.22275507,-0.21468046,0.6759435,-0.01663229,-0.3930583,0.04554812,-0.49457937,-0.28069654,-0.15522118,-0.3014233,-0.121380836,-0.121380836,-0.3014233,0.22216809,0.028241176,0.27272728,0.17338331,1067,479.4687563578288,957.4471867879232,970.2662471930186,1212.01038112243,718.457971572876,1091.1383141577244
1,5,-0.010547356,-0.44187003,0.06093088,-0.10395111,-0.11893299,-0.1287858,-0.1238594,0.64530087,-0.010547356,-0.44187003,0.06093088,-0.10395111,-0.16163008,-0.017855858,-0.18545617,-0.1304955,-0.1304955,-0.18545617,0.1754869,0.16525097,0.077220075,0.6975547,777,479.4687563578288,957.4471867879232,1212.01038112243,1453.7545150518417,718.457971572876,1332.8824480871358
1,6,-0.10549414,-0.6004976,0.18839939,-0.23946902,-0.15785281,-0.22067787,-0.18926536,0.6596722,-0.10549414,-0.6004976,0.18839939,-0.23946902,-0.21718907,-0.052187935,-0.3151536,-0.17253079,-0.17253079,-0.3151536,0.19896716,0.1230047,0.16901408,0.5605634,710,479.4687563578288,957.4471867879232,1453.7545150518417,1695.4986489812532,718.457971572876,1574.6265820165474
