image_feature,omics_feature,effect_size,p_value,fdr
edge_contrast__pathomics__std_g,omics__inner_rim__n_cells,-0.8575279396087734,5.575072995513269e-09,1.1606350134927686e-06
pathomics__outer_rim__foreground_fraction,edge_contrast__omics__area_um2,-0.8571037503421847,5.780173800346381e-09,1.1960405690389465e-06
geometry__solidity,omics__whole__state_entropy,-0.8559590096940428,6.368471118350832e-09,1.3098333790526151e-06
edge_contrast__pathomics__stain_blue_ratio,omics__inner_rim__n_cells,-0.855353049906867,6.701501877753166e-09,1.370075910839812e-06
edge_contrast__pathomics__std_b,omics__inner_rim__state_entropy,-0.8552113752883453,6.7816195933137215e-09,1.3782027152078399e-06
geometry__boundary_roughness,omics__core__area_um2,0.8550808018291098,6.856231560128358e-09,1.3851210528159905e-06
geometry__solidity,omics__inner_rim__area_um2,-0.854808885857814,7.014015807388024e-09,1.4086619276225995e-06
edge_contrast__pathomics__std_r,omics__inner_rim__area_um2,-0.8539692382145786,7.522354898996964e-09,1.5019195377868674e-06
pathomics__inner_rim__std_r,omics__outer_rim__area_um2,0.8534649626940061,7.843563830459598e-09,1.5569474203462304e-06
pathomics__inner_rim__edge_density,lr__tgfb1_tgfbr2__cross_zone,0.8532775066064079,7.966119613600196e-09,1.5721344268643811e-06
pathomics__inner_rim__std_b,omics__whole__area_um2,0.8532020804701638,8.015922373922081e-09,1.5728713890255614e-06
pathomics__inner_rim__nuclear_density_proxy,omics__whole__n_cells,0.8528078449047994,8.280877931925217e-09,1.6155756248673756e-06
pathomics__inner_rim__texture_std,omics__whole__area_um2,0.8525793052289447,8.43810295577776e-09,1.6368960858872971e-06
pathomics__core__foreground_fraction,edge_contrast__omics__area_um2,0.852369341803288,8.584940555104717e-09,1.6559719798439847e-06
edge_contrast__pathomics__std_r,omics__inner_rim__n_cells,-0.8522460646184294,8.672235214411985e-09,1.6634126668003032e-06
geometry__bbox_height_um,omics__inner_rim__niche_fraction__mixed_low_signal,0.8510021754542928,9.59942101444647e-09,1.830968895392354e-06
pathomics__whole__foreground_fraction,omics__inner_rim__n_cells,0.8506533756387802,9.875152678027145e-09,1.8633668105270632e-06
geometry__bbox_width_um,omics__inner_rim__niche_fraction__mixed_low_signal,0.850649282146374,9.878431044033695e-09,1.8633668105270632e-06
geometry__boundary_roughness,omics__inner_rim__niche_fraction__mixed_low_signal,0.8501433350333539,1.0291349611851955e-08,1.9305893321310407e-06
pathomics__inner_rim__std_b,omics__outer_rim__area_um2,0.8497380414595344,1.0633396059789492e-08,1.983854690018212e-06
edge_contrast__pathomics__foreground_fraction,omics__core__area_um2,-0.8491863640043483,1.1115627909466439e-08,2.0625530874184954e-06
pathomics__inner_rim__texture_std,omics__outer_rim__area_um2,0.8491168879204557,1.1177749918230811e-08,2.062868852476953e-06
geometry__area_um2,omics__inner_rim__niche_fraction__mixed_low_signal,0.8487745707057439,1.1488475366647589e-08,2.108814655742376e-06
pathomics__inner_rim__edge_density,lr__spp1_cd44__cross_zone,0.8486439640499579,1.1609087213960934e-08,2.1195585864120548e-06
pathomics__core__foreground_fraction,omics__outer_rim__area_um2,0.8485347753555869,1.1710803941633445e-08,2.1267567456130268e-06
pathomics__whole__foreground_fraction,omics__inner_rim__state_entropy,0.8477176757913741,1.249813437039792e-08,2.245848966705925e-06
edge_contrast__pathomics__texture_entropy,omics__inner_rim__area_um2,-0.8477585528457452,1.245762914569644e-08,2.245848966705925e-06
pathomics__outer_rim__foreground_fraction,omics__core__area_um2,-0.8475395901892139,1.2676003236165756e-08,2.2658853533464465e-06
pathomics__whole__foreground_fraction,omics__inner_rim__area_um2,0.8470961818941664,1.3128932010745272e-08,2.2789400387056493e-06
geometry__perimeter_um,omics__inner_rim__niche_fraction__mixed_low_signal,0.8470282388974544,1.3199621188122122e-08,2.2789400387056493e-06
pathomics__whole__foreground_fraction,omics__inner_rim__niche_fraction__mixed_low_signal,0.8470282388974544,1.3199621188122122e-08,2.2789400387056493e-06
pathomics__inner_rim__edge_density,lr__cxcl12_cxcr4__cross_zone,0.8468294591022352,1.3408430362076487e-08,2.2789400387056493e-06
edge_contrast__pathomics__mean_r,omics__inner_rim__niche_fraction__mixed_low_signal,-0.8464485192765362,1.381701681249105e-08,2.2789400387056493e-06
edge_contrast__pathomics__mean_g,omics__inner_rim__niche_fraction__mixed_low_signal,-0.8464485192765362,1.381701681249105e-08,2.2789400387056493e-06
edge_contrast__pathomics__mean_b,omics__inner_rim__niche_fraction__mixed_low_signal,-0.8464485192765362,1.381701681249105e-08,2.2789400387056493e-06
