program,feature_kind,feature_name,effect_size,p_value,matched_control_delta,fdr
myeloid_vascular_belt,marker_pair,cxcl12_cxcr4__cross_zone,-0.23507568778299534,1.0,-0.23507568778299537,1.0
myeloid_vascular_belt,gene,FAP,-0.240918377446641,1.0,-0.24091837744664094,1.0
myeloid_vascular_belt,gene,COL3A1,-0.2790148479677403,1.0,-0.2790148479677403,1.0
myeloid_vascular_belt,gene,COL1A2,-0.2904751025358616,1.0,-0.2904751025358617,1.0
myeloid_vascular_belt,gene,CD3E,-0.40087345288209364,1.0,-0.4008734528820936,1.0
myeloid_vascular_belt,gene,CXCL12,-0.4481123951256971,1.0,-0.4481123951256971,1.0
myeloid_vascular_belt,marker_pair,cxcl12_cxcr4__outer_minus_inner,-1.4561330067235079,0.5065551690490403,-1.4561330067235077,1.0
necrotic_hypoxic_rim,gene,CD3E,0.9060928928699994,0.06360256962075367,0.9060928928699994,0.9284504436062292
necrotic_hypoxic_rim,gene,CXCR5,-0.144012334159373,0.19670560245894686,-0.144012334159373,0.9284504436062292
necrotic_hypoxic_rim,gene,ACTA2,-0.17896711662837875,0.19670560245894686,-0.17896711662837875,0.9284504436062292
necrotic_hypoxic_rim,gene,COL1A2,0.54168743154026,0.4,0.54168743154026,1.0
necrotic_hypoxic_rim,gene,RGS5,0.4386032823136911,0.5049850750938458,0.4386032823136911,1.0
necrotic_hypoxic_rim,gene,TGFB1,0.39154933149270027,0.6428348264908044,0.39154933149270027,1.0
necrotic_hypoxic_rim,marker_pair,cxcl12_cxcr4__cross_zone,0.388821107981434,0.6428348264908044,0.38882110798143393,1.0
necrotic_hypoxic_rim,gene,COL3A1,0.2796675534404952,1.0,0.279667553440495,1.0
necrotic_hypoxic_rim,gene,CXCR4,0.26208466050825274,0.6428348264908044,0.26208466050825274,1.0
necrotic_hypoxic_rim,gene,TRAC,0.22227214910693951,0.3536785173184648,0.22227214910693951,1.0
necrotic_hypoxic_rim,gene,TGFBR2,0.09608885709951298,1.0,0.096088857099513,1.0
necrotic_hypoxic_rim,pathway,immune_activation,0.06142609919738369,0.4,0.0614260991973837,1.0
necrotic_hypoxic_rim,marker_pair,spp1_cd44__cross_zone,0.05487571118447241,0.6428348264908044,0.05487571118447241,1.0
necrotic_hypoxic_rim,gene,CD163,0.05383860840647545,0.8247780950825133,0.05383860840647545,1.0
necrotic_hypoxic_rim,gene,KDR,0.038416935167920906,1.0,0.038416935167920906,1.0
necrotic_hypoxic_rim,gene,CXCL13,0.032071361866222725,1.0,0.03207136186622272,1.0
necrotic_hypoxic_rim,marker_pair,vegfa_kdr__cross_zone,0.03062193602318638,1.0,0.030621936023186375,1.0
necrotic_hypoxic_rim,gene,HILPDA,0.016612878593149624,1.0,0.01661287859314962,1.0
necrotic_hypoxic_rim,pathway,tls_activation,0.016434541616723496,1.0,0.016434541616723492,1.0
necrotic_hypoxic_rim,gene,CD79A,0.014267949210921895,0.5049850750938458,0.014267949210921895,1.0
necrotic_hypoxic_rim,gene,SLC2A1,0.01339242201993271,1.0,0.0133924220199327,1.0
necrotic_hypoxic_rim,gene,GZMB,0.011132986379567424,0.5049850750938458,0.011132986379567424,1.0
necrotic_hypoxic_rim,gene,CA9,0.010943558959059253,0.5049850750938458,0.010943558959059253,1.0
necrotic_hypoxic_rim,gene,COL1A1,0.006337171555919868,1.0,0.006337171555919873,1.0
necrotic_hypoxic_rim,gene,TYROBP,0.005640726376699886,0.5049850750938458,0.005640726376699886,1.0
necrotic_hypoxic_rim,gene,MMP11,0.002379998827901207,1.0,0.002379998827901205,1.0
necrotic_hypoxic_rim,gene,ENO1,0.0009888238233992045,1.0,0.0009888238233992039,1.0
necrotic_hypoxic_rim,gene,LST1,0.0,1.0,0.0,1.0
necrotic_hypoxic_rim,gene,JCHAIN,0.0,1.0,0.0,1.0
necrotic_hypoxic_rim,gene,VIM,-0.000511896510762555,1.0,-0.0005118965107626291,1.0
necrotic_hypoxic_rim,gene,PRF1,-0.002214439113833561,1.0,-0.0022144391138335605,1.0
