feature	classification_name	mean_value	median_value	n_contours
pathway__inner_rim__vascular_stromal	S4 Plasma Cells #3.1			0
pathway__inner_rim__vascular_stromal	S5 Endothelial Cells #1.1			0
pathway__inner_rim__vascular_stromal	S5 Endothelial Cells #2.1			0
pathway__inner_rim__vascular_stromal	S5 Endothelial Cells #3.1			0
pathway__inner_rim__vascular_stromal	S5 Endothelial Cells #4.1			0
pathway__inner_rim__vascular_stromal	S6 Apocrine Cells #1.1			0
pathway__inner_rim__vascular_stromal	S6 Apocrine Cells #2.1			0
pathway__inner_rim__vascular_stromal	S6 Apocrine Cells #3.1			0
pathway__inner_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #3.1			0
pathway__inner_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #4.1			0
pathway__outer_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #3.1	0.4038747094502095	0.4038747094502095	1
pathway__outer_rim__vascular_stromal	S5 Endothelial Cells #4.1	0.274115504948364	0.274115504948364	1
pathway__outer_rim__vascular_stromal	S4 Plasma Cells #3.1	0.2125802871318612	0.2125802871318612	1
pathway__outer_rim__vascular_stromal	S3 Macrophages #1.1	0.1763990615801103	0.1763990615801103	1
pathway__outer_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #3.1	0.1730263588452169	0.1730263588452169	1
pathway__outer_rim__vascular_stromal	S4 Plasma Cells #4.1	0.1706794069685032	0.1706794069685032	1
pathway__outer_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #2.1	0.1548833693639295	0.1548833693639295	1
pathway__outer_rim__vascular_stromal	S4 Plasma Cells #1.1	0.1543543478159658	0.1543543478159658	1
pathway__outer_rim__vascular_stromal	S7 Luminal-like Amorphous DCIS Cells #1.1	0.1423833187085441	0.1423833187085441	1
pathway__outer_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #4.1	0.1389939967894186	0.1389939967894186	1
pathway__outer_rim__vascular_stromal	S3 Macrophages #3.1	0.1249546652478174	0.1249546652478174	1
pathway__outer_rim__vascular_stromal	S4 Plasma Cells #2.1	0.1177734555409629	0.1177734555409629	1
pathway__outer_rim__vascular_stromal	S3 Macrophages #2.1	0.1107066822976784	0.1107066822976784	1
pathway__outer_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #4.1	0.1078179262771151	0.1078179262771151	1
pathway__outer_rim__vascular_stromal	S1 11q13 Invasive Tumor Cells #1.1	0.105670129853337	0.105670129853337	1
pathway__outer_rim__vascular_stromal	S2 Basal-like Structured DCIS Cells #1.1	0.07841014500954	0.07841014500954	1
pathway__outer_rim__vascular_stromal	S5 Endothelial Cells #3.1	0.064758269619264	0.064758269619264	1
pathway__outer_rim__vascular_stromal	S6 Apocrine Cells #2.1	0.05767208650753	0.05767208650753	1
pathway__outer_rim__vascular_stromal	S6 Apocrine Cells #1.1	0.0513073274923296	0.0513073274923296	1
