ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
TGFB3	ACVRL1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.7300470933175705	0.9358243674528413	0.7204611100467462	1.0	0.9156478969118048	0.0290634009322198	0.0187832142202675	0.4190387009851946	0.0020157595748579	16371	1.0	0.485517788694435	TGFB3-ACVRL1
PGF	NRP1	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.8881642103469672	0.950654774281472	1.0	0.5774262818386658	1.0	0.0262868035635031	0.0212849205728147	0.7229813041191885	0.001252054151342	12779	1.0	0.483754595123022	PGF-NRP1
TGFB3	ENG	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.624241308828984	0.925235419826512	0.6198216015396206	0.7488256595102303	1.0	0.0471207967026846	0.1111466666666666	1.0	0.04864	3125	1.0	0.4825890768204701	TGFB3-ENG
GNAI2	EDNRA	Endothelial Cells	Pericytes	recompute	recompute	recompute	0.7735961974965406	0.9081696604887536	0.946515890536252	0.3233587079699547	0.8180025349289664	0.071121105697616	0.0216627120133579	0.9905810814482986	0.0084365937252834	11379	1.0	0.4818085527219239	GNAI2-EDNRA
CCN1	CAV1	Pericytes	Pericytes	recompute	recompute	recompute	0.9219165193585238	0.9694036398779844	1.0	0.2646489893253856	0.5444650460041837	0.0967053677538771	0.0366773248068214	0.730244168013971	0.0175059952038369	12510	1.0	0.4814463054892701	CCN1-CAV1
LGALS3	ENG	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.8593888833449708	0.925235419826512	0.7204611100467462	0.4205869950462504	1.0	0.0515532994324664	0.0408573086555494	0.345316709945534	0.0076965365585486	16371	1.0	0.4812390093170398	LGALS3-ENG
TGFB1	ENG	T Lymphocytes	Endothelial Cells	recompute	recompute	recompute	0.7806633527749638	0.925235419826512	0.6198216015396206	1.0	1.0	0.0277401980959685	0.0465953579418344	0.6057262208263751	0.0119546979865771	4768	1.0	0.4812256286238265	TGFB1-ENG
THBS1	SCARB1	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.6618323930349246	0.9252108023241044	0.6198216015396206	1.0	1.0	0.0326694707916837	0.0317484934420419	0.4001144716352167	0.0244003308519437	4836	1.0	0.4810973303072259	THBS1-SCARB1
COL4A2	CD93	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.4630253981438691	0.8817184225858201	0.7204611100467462	0.7696906278989153	1.0	0.0546556267363012	0.0429723291185641	0.3676997418653926	0.0081241219229124	16371	1.0	0.4809309681619716	COL4A2-CD93
EFEMP2	AQP1	CAFs, DCIS Associated	Endothelial Cells	recompute	recompute	recompute	0.718137792139911	0.9574187587745568	0.7204611100467462	1.0	1.0	0.0248166787781156	0.0282613564636653	0.2400563711577991	0.0025655121861828	16371	1.0	0.4804085036349432	EFEMP2-AQP1
GDF15	TGFBR2	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.788128421318928	0.9516417160285664	0.6198216015396206	1.0	1.0	0.02626938381258	0.0363362742395001	0.8033378749037529	0.0078577336641852	4836	1.0	0.479878405984902	GDF15-TGFBR2
PTGS2	CAV1	CAFs, DCIS Associated	Pericytes	recompute	recompute	recompute	0.7269774665968665	0.9694036398779844	0.7204611100467462	1.0	0.5444650460041837	0.04410925933012	0.0202207844895693	0.6902995302116587	0.0028185253987572	15611	1.0	0.4797584939448752	PTGS2-CAV1
CD34	SELL	Endothelial Cells	T Lymphocytes	recompute	recompute	recompute	0.9559599666576516	0.8640394743063007	0.6198216015396206	1.0	1.0	0.0236317156203751	0.0520130576713819	1.0	0.0056583242655059	4595	1.0	0.4791328080625057	CD34-SELL
DLL1	NOTCH2	Endothelial Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.9356727248601746	0.663300745568453	0.6198216015396206	1.0	1.0	0.0313389191360889	0.0480176578377477	1.0	0.0058304181242711	6003	1.0	0.4788478668326785	DLL1-NOTCH2
COL4A2	ITGB3	Pericytes	Endothelial Cells	recompute	recompute	recompute	0.8840293712888387	0.6331209967826587	0.946515890536252	0.5544396796022323	0.7759377541095519	0.0528084593719256	0.0326169405815422	0.841764996266651	0.0057793028715911	11074	1.0	0.4787157169590722	COL4A2-ITGB3
HMGB1	THBD	11q13 Invasive Tumor Cells	Endothelial Cells	recompute	recompute	recompute	0.7980326424101848	0.8867476398578003	0.6198216015396206	1.0	1.0	0.0273116530499209	0.0704094292803967	0.4285360047642033	0.0159222497932175	4836	1.0	0.4783428236257303	HMGB1-THBD
COL4A2	ITGB5	Pericytes	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.8840293712888387	0.6310942169926681	0.6198216015396206	0.5544396796022323	1.0	0.0623202107736753	0.0360289140315251	0.5453340738734496	0.0320568610385842	6894	1.0	0.4781364141202729	COL4A2-ITGB5
GNAI2	CAV1	Endothelial Cells	Pericytes	recompute	recompute	recompute	0.7735961974965406	0.9694036398779844	0.946515890536252	0.3233587079699547	0.5444650460041837	0.0948115444062208	0.0495259298317555	1.0	0.0148519202038843	11379	1.0	0.477467473584753	GNAI2-CAV1
TGFB1	ENG	CAFs, Invasive Associated	Endothelial Cells	recompute	recompute	recompute	0.661899245973867	0.925235419826512	0.6198216015396206	0.9188457246466148	1.0	0.0339706906439564	0.08048	1.0	0.02528	3125	1.0	0.477466598697407	TGFB1-ENG
HSPG2	ITGB1	Endothelial Cells	Endothelial Cells	recompute	recompute	recompute	0.8818165186409654	0.7737214378733352	1.0	1.0	0.094800668600475	0.1828977102738406	0.0818741561366155	1.0	0.0438218952969715	12779	1.0	0.4773428659825407	HSPG2-ITGB1
