cell_id	cell_type	x	y	VWF	SELP	vwf_norm	selp_norm	ee_neighbor_count	active_sender_edges	active_receiver_edges	hotspot_score
ilmhodin-1	Endothelial Cells	6368.42333984375	1836.834716796875	33.0	8.0	0.8193092920885532	0.6913742480868107	1	0	1	0.7271542186648516
kfpfiplb-1	Endothelial Cells	9167.861328125	1727.608642578125	33.0	5.0	0.8193092920885532	0.5637914160289369	2	1	2	0.7259455997816642
lkoadohl-1	Endothelial Cells	8482.6689453125	3043.79736328125	21.0	4.0	0.7181681471869151	0.5064224831767222	4	4	4	0.72576051392399
haiplijg-1	Endothelial Cells	4729.9384765625	4766.13427734375	34.0	4.0	0.8260442127381088	0.5064224831767222	3	3	3	0.7251640889944546
jhbjflpl-1	Endothelial Cells	5816.59521484375	611.3679809570312	17.0	5.0	0.6715446200987684	0.5637914160289369	2	2	2	0.7231852603909242
jflefkbm-1	Endothelial Cells	6640.58935546875	987.3561401367188	22.0	5.0	0.7284960027393369	0.5637914160289369	2	2	1	0.7231212082598617
ekngokof-1	Endothelial Cells	5122.66455078125	2018.6116943359373	29.0	8.0	0.7902290760036176	0.6913742480868107	2	1	2	0.7222653381757261
falplamg-1	Endothelial Cells	4773.419921875	3062.237548828125	31.0	4.0	0.8052238587822221	0.5064224831767222	4	4	4	0.719555692890599
cpmlmmhc-1	Endothelial Cells	1142.22607421875	1808.8292236328125	21.0	5.0	0.7181681471869151	0.5637914160289369	2	1	2	0.7168416022577738
ldcmmfjp-1	Endothelial Cells	8949.6962890625	1146.72314453125	11.0	6.0	0.5773394676840509	0.6122961576274708	4	3	3	0.7165425671953082
lkhilbai-1	Endothelial Cells	8809.0439453125	2966.2841796875	23.0	6.0	0.7383842394404954	0.6122961576274708	2	1	1	0.7159197752159373
lgoljpna-1	Endothelial Cells	8466.0048828125	3055.91015625	23.0	7.0	0.7383842394404954	0.6543128759565946	2	2	2	0.7138862352860893
jbmfkccj-1	Endothelial Cells	6437.8408203125	2231.2646484375	18.0	3.0	0.6841065168404427	0.4362085839710631	2	1	2	0.7119861674111959
lbdollhl-1	Endothelial Cells	9120.380859375	859.601318359375	30.0	10.0	0.7978474140428734	0.7545168838552492	3	1	3	0.7116675812736846
fakckafj-1	Endothelial Cells	4694.19189453125	3008.119140625	23.0	10.0	0.7383842394404954	0.7545168838552492	3	2	3	0.7114949767202835
lhibmnbb-1	Endothelial Cells	7745.06201171875	3535.909912109375	17.0	7.0	0.6715446200987684	0.6543128759565946	1	1	1	0.7111174652431926
lmmgiipm-1	Endothelial Cells	9611.13671875	3328.58251953125	31.0	6.0	0.8052238587822221	0.6122961576274708	2	2	2	0.7090170992215145
kfomklgf-1	Endothelial Cells	9099.544921875	1728.091064453125	10.0	2.0	0.5571233754304706	0.34568712404340535	3	3	0	0.7089968112081696
lddbnfkd-1	Endothelial Cells	8924.1826171875	1054.62451171875	17.0	6.0	0.6715446200987684	0.6122961576274708	4	3	4	0.7084159309382183
oaaigmcp-1	Endothelial Cells	6198.02783203125	3823.30419921875	35.0	5.0	0.8325893918552129	0.5637914160289369	5	3	5	0.707306139900404
