gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
FLT1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.24654752233956134	0.15857726862898391	0.20633631194151097	0.22684878882070986	0.3344820214630809
GP1BA	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03330625507717303	0.02285243893623556	0.03249390739236393	0.913431612260985	0.9991876523151907
HBB	11q13 Invasive Tumor Cells (Mitotic)	2462	0.030869212022745736	0.020345266884845576	0.027213647441104792	0.31049158362831975	0.4920136174676892
IL6	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04670999187652315	0.031091560912844894	0.04224207961007311	0.24920184973308362	0.34530397588366873
ITGA2B	11q13 Invasive Tumor Cells (Mitotic)	2462	0.12469536961819659	0.07900732524711988	0.10073111291632819	1.0	1.0
KDR	11q13 Invasive Tumor Cells (Mitotic)	2462	0.06295694557270512	0.042140561350957506	0.05808285946385053	0.049023808344258235	0.09114020742653693
MMRN2	11q13 Invasive Tumor Cells (Mitotic)	2462	0.04224207961007311	0.027128857204892724	0.034930950446791224	0.045466192101674456	0.061958970928245066
PECAM1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.16734362307067424	0.10759630143863927	0.13931762794476035	0.07492632856526998	0.1562183361585767
PF4	11q13 Invasive Tumor Cells (Mitotic)	2462	0.021933387489845652	0.015203065698715292	0.021933387489845652	0.6238190457235915	0.6368515724730184
PLAT	11q13 Invasive Tumor Cells (Mitotic)	2462	7.280259951259139	1.8656606303181473	0.954914703493095	0.924745505160241	0.9988389080836955
PPBP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03899268887083672	0.026278738368557132	0.036555645816409424	1.0	1.0
RAB27A	11q13 Invasive Tumor Cells (Mitotic)	2462	0.2258326563769293	0.14722418666291093	0.19496344435418358	0.9342921756805551	0.959028771062481
SELP	11q13 Invasive Tumor Cells (Mitotic)	2462	0.03411860276198213	0.022666581458880897	0.030869212022745736	0.07232202193009866	0.11895267403224272
SERPINE1	11q13 Invasive Tumor Cells (Mitotic)	2462	0.020714865962632008	0.01400790413939962	0.01949634443541836	0.07475386316013827	0.094781134977046
STXBP5	11q13 Invasive Tumor Cells (Mitotic)	2462	0.3460601137286759	0.21345700093523076	0.26320064987814784	0.5659134814288362	0.6431856940730898
THBD	11q13 Invasive Tumor Cells (Mitotic)	2462	0.05280259951259139	0.03573419006091553	0.049959382615759544	0.08647588219979244	0.12338193461578188
VWF	11q13 Invasive Tumor Cells (Mitotic)	2462	0.11169780666125101	0.07168136820353063	0.09423233143785541	0.043226225077004174	0.1073101315621372
ADAMTS13	Apocrine Cells	403	0.05955334987593052	0.039851533966588394	0.05459057071960298	0.5523136500614829	0.5553801037672006
ANGPT2	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.2551745573245157	0.3088723462917011
CDH5	Apocrine Cells	403	0.03722084367245657	0.025799522849625754	0.03722084367245657	0.03455016668976555	0.055708531036318204
CLEC14A	Apocrine Cells	403	0.04714640198511166	0.03125169301671315	0.04218362282878412	0.049068202641067656	0.07155616901562437
COL4A1	Apocrine Cells	403	0.05707196029776675	0.03599001188739414	0.04466501240694789	0.039775134479033726	0.06844190955890522
COL4A2	Apocrine Cells	403	0.16377171215880892	0.10608712197712702	0.13895781637717122	0.15998283067788702	0.24521633076257923
CXCL8	Apocrine Cells	403	0.05955334987593052	0.03813156577661335	0.04962779156327544	0.787001441019643	0.7636476426799009
EGFL7	Apocrine Cells	403	0.07444168734491315	0.047023672323650845	0.05955334987593052	0.046857787929712305	0.07643817373567864
EMCN	Apocrine Cells	403	0.04714640198511166	0.030537841720306744	0.03970223325062035	0.04363342994211844	0.06260597175961782
FLT1	Apocrine Cells	403	0.15632754342431762	0.10550259078280257	0.14640198511166252	0.1509241213664805	0.2373253232336424
GP1BA	Apocrine Cells	403	0.02481389578163772	0.0171996818997505	0.02481389578163772	0.6874860583547492	0.7630272952853597
HBB	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.18374050096409886	0.3140388386888691
IL6	Apocrine Cells	403	0.04466501240694789	0.0302455761231445	0.04218362282878412	0.24242120031408662	0.3448261263274258
ITGA2B	Apocrine Cells	403	0.02729528535980149	0.018919650089725553	0.02729528535980149	0.23946703714558729	0.27097174417673897
KDR	Apocrine Cells	403	0.07196029776674938	0.04501143853651355	0.05707196029776675	0.05236361513402719	0.08955396390246369
MMRN2	Apocrine Cells	403	0.01240694789081886	0.00859984094987525	0.01240694789081886	0.014412771526563123	0.022006893996384582
PECAM1	Apocrine Cells	403	0.07196029776674938	0.047445258022894995	0.06451612903225806	0.0330392303820476	0.0723426208261856
PF4	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.4940215712710401	0.5043424317617866
PLAT	Apocrine Cells	403	3.3101736972704714	1.183031078374597	0.8114143920595533	0.5863888932496921	0.8487378636054486
PPBP	Apocrine Cells	403	0.007444168734491315	0.00515990456992515	0.007444168734491315	0.1963528270481602	0.20363937138130686
RAB27A	Apocrine Cells	403	0.13399503722084366	0.08687520629023925	0.1141439205955335	0.5513144771751856	0.5614760462177838
SELP	Apocrine Cells	403	0.02977667493796526	0.0206396182797006	0.02977667493796526	0.06585461193436933	0.11474264730340143
SERPINE1	Apocrine Cells	403	0.017369727047146403	0.012039777329825353	0.017369727047146403	0.06425085851785921	0.08444262201170445
STXBP5	Apocrine Cells	403	0.14640198511166252	0.09031514267018934	0.1141439205955335	0.23944193252175114	0.2789344814553103
THBD	Apocrine Cells	403	0.062034739454094295	0.040857650860157045	0.05459057071960298	0.09887453435268	0.1348193247095808
VWF	Apocrine Cells	403	0.062034739454094295	0.040857650860157045	0.05459057071960298	0.024638508673329316	0.062166787519590136
ADAMTS13	B Cells	2512	0.0019904458598726115	0.0013796719358279165	0.0019904458598726115	0.019121262519113585	0.020249907880191608
ANGPT2	B Cells	2512	0.007165605095541401	0.00430042707663509	0.0051751592356687895	0.09114450753738636	0.09202583156404812
CDH5	B Cells	2512	0.009554140127388535	0.006278855937931268	0.008359872611464968	0.008408508968982594	0.01251224252017943
CLEC14A	B Cells	2512	0.018710191082802547	0.012005843101531369	0.01552547770700637	0.018850343303569404	0.026335900815346758
COL4A1	B Cells	2512	0.06050955414012739	0.036232638226436256	0.04339171974522293	0.040043278187731304	0.06649079443546597
COL4A2	B Cells	2512	0.061703821656050956	0.03741345203441894	0.04617834394904458	0.056420702629563294	0.08149008353111531
CXCL8	B Cells	2512	0.009554140127388535	0.006507902173959756	0.009156050955414012	0.13431728502642362	0.14088873407643313
EGFL7	B Cells	2512	0.014331210191082803	0.009085087960724197	0.011544585987261146	0.009053038692009702	0.014817757040354238
EMCN	B Cells	2512	0.014729299363057325	0.00986600297108385	0.013535031847133758	0.01409685574345152	0.021343228131227195
FLT1	B Cells	2512	0.032245222929936306	0.020721220372815794	0.027070063694267517	0.02964222921166605	0.043881997988602074
GP1BA	B Cells	2512	0.004777070063694267	0.0029207551408071725	0.0035828025477707007	0.1167450916171898	0.11017117834394903
HBB	B Cells	2512	0.006767515923566879	0.004024492689469505	0.0051751592356687895	0.061418270673300475	0.09356514307842273
IL6	B Cells	2512	0.011146496815286623	0.007034078861850806	0.009156050955414012	0.05637881830556228	0.07484529235970658
ITGA2B	B Cells	2512	0.0035828025477707007	0.0024834094844902494	0.0035828025477707007	0.03143264851357285	0.035567983357304295
KDR	B Cells	2512	0.020700636942675158	0.013270991919345042	0.01711783439490446	0.015438678165054592	0.026860299094187783
MMRN2	B Cells	2512	0.010350318471337579	0.00671620159424819	0.00875796178343949	0.011255915041736014	0.015534484249358733
PECAM1	B Cells	2512	0.21218152866242038	0.1101852870632928	0.11664012738853503	0.0767292082643847	0.13078981388619504
PF4	B Cells	2512	0.003980891719745223	0.002759343871655833	0.003980891719745223	0.11322264173238693	0.11558803457688809
PLAT	B Cells	2512	0.050955414012738856	0.03313871704422397	0.04378980891719745	0.01642575243076088	0.04580405429306854
PPBP	B Cells	2512	0.009156050955414012	0.0063464909048084155	0.009156050955414012	0.24150668178203252	0.2504688605803255
RAB27A	B Cells	2512	0.06648089171974522	0.043238711522036365	0.05692675159235669	0.2743950622328301	0.28002373881442694
