method	database_mode	ligand	receptor	sender	receiver	score_raw	score_std	rank_within_method	rank_fraction	fdr_or_pvalue	resolution	spatial_support_type	artifact_path	sender_mean_expr	receiver_mean_expr	lr_pair	method_source	sender_diffused_mean	receiver_diffused_mean	diffusion_alpha	spatial_coherence	local_lr_score	edge_count	spatialdm_moran_r	spatialdm_zscore	n_spots	n_spots_sig	n_spots_sig_pval	local_contact	contact_strength_normalized	contact_coverage	cross_edge_count
liana	common-db	CXCL12	CD4	Unassigned	Plasma Cells	1.0	1.0	1.0	1.0		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			CXCL12-CD4	liana				1.0											
liana	common-db	VWF	STAB2	Mast Cells	Unassigned	1.0	0.9999959688743352	4.0	0.9999959688743352		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			VWF-STAB2	liana				1.0											
liana	common-db	APP	LRP1	Unassigned	Plasma Cells	0.9999998807907104	0.9999731258289002	21.0	0.9999731258289002		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			APP-LRP1	liana				0.9999998807907104											
liana	common-db	CCN2	LRP1	Unassigned	Plasma Cells	0.9999998807907104	0.9999717821203452	22.0	0.9999717821203452		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			CCN2-LRP1	liana				0.9999998807907104											
liana	common-db	CXCL12	ITGB1	Unassigned	Plasma Cells	0.9999998807907104	0.9999690947032353	24.0	0.9999690947032353		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			CXCL12-ITGB1	liana				0.9999998807907104											
liana	common-db	HSPG2	ITGB1	Unassigned	Plasma Cells	0.9999998807907104	0.9999637198690152	28.0	0.9999637198690152		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			HSPG2-ITGB1	liana				0.9999998807907104											
liana	common-db	HSPG2	LRP1	Unassigned	Plasma Cells	0.9999998807907104	0.9999623761604604	29.0	0.9999623761604604		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			HSPG2-LRP1	liana				0.9999998807907104											
liana	common-db	ICAM1	CAV1	Unassigned	Plasma Cells	0.9999998807907104	0.9999610324519052	30.0	0.9999610324519052		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			ICAM1-CAV1	liana				0.9999998807907104											
liana	common-db	TFPI	LRP1	Unassigned	Mast Cells	0.9999998807907104	0.9999543139091304	35.0	0.9999543139091304		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			TFPI-LRP1	liana				0.9999998807907104											
liana	common-db	AGRN	LRP1	Unassigned	Plasma Cells	0.9999997615814208	0.9999381894064704	47.0	0.9999381894064704		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			AGRN-LRP1	liana				0.9999997615814208											
liana	common-db	EFNB2	PECAM1	Unassigned	Plasma Cells	0.9999997615814208	0.9999207211952555	60.0	0.9999207211952555		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			EFNB2-PECAM1	liana				0.9999997615814208											
liana	common-db	GNAI2	CAV1	Mast Cells	Unassigned	0.9999997615814208	0.9999166900695908	63.0	0.9999166900695908		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			GNAI2-CAV1	liana				0.9999997615814208											
liana	common-db	MMP2	PECAM1	Unassigned	Plasma Cells	0.9999997615814208	0.9999086278182608	69.0	0.9999086278182608		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			MMP2-PECAM1	liana				0.9999997615814208											
liana	common-db	SERPINE1	LRP1	Unassigned	Plasma Cells	0.9999997615814208	0.9998965344412658	78.0	0.9998965344412658		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			SERPINE1-LRP1	liana				0.9999997615814208											
liana	common-db	TFPI	LRP1	Unassigned	Plasma Cells	0.9999997615814208	0.9998938470241558	80.0	0.9998938470241558		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			TFPI-LRP1	liana				0.9999997615814208											
liana	common-db	APOB	LRP1	Plasma Cells	Unassigned	0.999999225139618	0.999873691395831	95.0	0.999873691395831		local_lr	spatial_bivariate_neighbor	/cfs/klemming/scratch/h/hutaobo/topolink_cci_benchmark_2026-04/runs/full_common/liana/raw			APOB-LRP1	liana				0.999999225139618											
