ligand	receptor	sender_celltype	receiver_celltype	anchor_source_ligand	anchor_source_receptor	structure_map_source	sender_anchor	receiver_anchor	structure_bridge	sender_expr	receiver_expr	local_contact	contact_strength_raw	contact_strength_normalized	contact_coverage	cross_edge_count	prior_confidence	CCI_score	lr_pair
MMRN2	CD93	Dendritic Cells	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.6301823358791634	0.8817184225858201	0.6198216015396206	0.0015409900107563	0.0003375370073613	0.0	0.0	0.0	0.0	922	1.0	0.0034849773662237	MMRN2-CD93
VWF	SELP	Apocrine Cells	11q13 Invasive Tumor Cells	recompute	recompute	recompute	0.2486570577556728	0.6572093097629401	0.2461374514707439	0.0001077515101466	0.04130664769978	0.0	0.0	0.0	0.0	184	1.0	0.0034846646835099	VWF-SELP
CCN1	CAV1	Apocrine Cells	Apocrine Cells	recompute	recompute	recompute	0.2542249848376565	0.252518874138558	1.0	0.0014656941948563	0.0018925243453249	0.0	0.0007736293306424	0.042854355267235	0.0	991	1.0	0.0034815050991932	CCN1-CAV1
VWF	LRP1	11q13 Invasive Tumor Cells	Apocrine Cells	recompute	recompute	recompute	0.6332974881236617	0.2550748532138862	0.2461374514707439	0.0131302879503246	0.0003386430177035	0.0	0.0001269680040629	0.0081804888523796	0.0	179	1.0	0.0034773396600897	VWF-LRP1
CD34	SELP	Dendritic Cells	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.633566764858408	0.8819126042133903	0.6198216015396206	0.0042829523358709	0.0001189339410417	0.0	0.0	0.0	0.0	922	1.0	0.0034761235756211	CD34-SELP
MMRN2	CLEC14A	Mast Cells	Mast Cells	recompute	recompute	recompute	0.8571898293845529	0.8514619504364779	1.0	0.0004196880356983	0.0005740632036187	0.0	0.0	0.0	0.0	14	1.0	0.0034742234465378	MMRN2-CLEC14A
VWF	SELP	Macrophages	B Cells	recompute	recompute	recompute	0.9011206516381156	0.7760344326192508	0.6198216015396206	0.0008850282134344	0.0004582650848664	0.0	0.0	0.0	0.0	1074	1.0	0.0034740533869334	VWF-SELP
MMRN2	CLEC14A	Mast Cells	Plasma Cells	recompute	recompute	recompute	0.8571898293845529	0.7154802332407408	0.7204611100467462	0.0004196880356983	0.0009436211854823	0.0	0.0	0.0	0.0	50	1.0	0.0034713953058942	MMRN2-CLEC14A
VWF	ITGA9	B Cells	CXCL14+ Fibroblasts	recompute	recompute	recompute	0.6332974881236617	0.950463483645931	0.6198216015396206	0.00023686843287	0.0019776346124415	0.0	0.0	0.0	0.0	800	1.0	0.003470675019521	VWF-ITGA9
EFNB2	PECAM1	Myoepithelial Cells	Apocrine Cells	recompute	recompute	recompute	0.4619393085577573	0.2491073778594529	0.2461374514707439	0.0308750930304183	0.0001990509171164	0.0	0.0001787416587225	0.2942433717620631	0.0	1049	1.0	0.0034683582121821	EFNB2-PECAM1
